algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_num_groups,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
risk_neutral_pgd,1,21.658157348632812,1809.5072021484375,11260.79296875,3.4059798537100505e-08,,,,,,,,,,,,,,,
risk_neutral_pgd,2,42.8345947265625,1735.1474609375,10588.99609375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,3,46.5792350769043,1468.6253662109375,8197.755859375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,4,49.93989181518555,1419.5426025390625,8123.85400390625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,5,50.9604606628418,1631.9715576171875,9947.240234375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,6,51.89567184448242,1429.0972900390625,8186.59326171875,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,7,51.69992446899414,1220.8895263671875,6065.69091796875,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,8,53.43525314331055,1188.9322509765625,6334.8212890625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,9,56.11494827270508,1078.46142578125,4544.1181640625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,10,54.96147155761719,1301.9609375,7166.705078125,0.0,,,,,,,,,,,,,,,
wideband_pgd,1,-22153.02734375,349.6116943359375,2115.917236328125,2.838316426334586e-08,,,,,,,,,,,,,,,
wideband_pgd,2,-813453.4375,12829.7841796875,77628.953125,0.0,,,,,,,,,,,,,,,
wideband_pgd,3,-932799.125,10950.4521484375,96071.09375,0.0,,,,,,,,,,,,,,,
wideband_pgd,4,-887420.6875,10811.3720703125,90659.84375,0.0,,,,,,,,,,,,,,,
wideband_pgd,5,-898296.875,10832.1787109375,91980.203125,0.0,,,,,,,,,,,,,,,
wideband_pgd,6,-895691.375,10830.451171875,91657.734375,0.0,,,,,,,,,,,,,,,
wideband_pgd,7,-896392.3125,10832.708984375,91741.2109375,0.0,,,,,,,,,,,,,,,
wideband_pgd,8,-896239.0,10833.2001953125,91721.140625,0.0,,,,,,,,,,,,,,,
wideband_pgd,9,-896292.6875,10834.0380859375,91726.421875,0.0,,,,,,,,,,,,,,,
wideband_pgd,10,-896282.125,10834.0361328125,91725.203125,0.0,,,,,,,,,,,,,,,
budgeted_primal_dual_pgd,1,-5281.841796875,349.6116943359375,2115.917236328125,2.838316426334586e-08,1.3160640001296997,3.4479517936706543,,,,,,,,,,,,,
budgeted_primal_dual_pgd,2,-232091.484375,7853.869140625,92827.8046875,0.0,1.9678611755371094,5.197951793670654,,,,,,,,,,,,,
budgeted_primal_dual_pgd,3,-182281.375,6196.43896484375,72902.578125,0.0,2.4219961166381836,5.903141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd,4,-190618.6875,6478.30029296875,76226.234375,0.0,2.9141342639923096,7.653141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd,5,-189662.15625,6443.41796875,75829.5546875,0.0,3.439300537109375,9.403141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd,6,-189913.328125,6456.80859375,75916.1640625,0.0,3.9896156787872314,11.153141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd,7,-189936.09375,6453.04638671875,75909.1171875,0.0,4.599090099334717,12.903141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd,8,-189978.90625,6457.19091796875,75907.53125,0.0,5.263025283813477,14.653141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd,9,-190015.140625,6461.91259765625,75913.421875,0.0,5.879481792449951,16.403141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd,10,-190045.03125,6455.92431640625,75916.765625,0.0,6.4244818687438965,18.153141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,1,-5281.841796875,349.6116943359375,2115.917236328125,2.838316426334586e-08,1.3160640001296997,3.4479517936706543,10.0,0.6359999775886536,0.019999999552965164,1.0,0.15236465632915497,-0.00299990177154541,,,,,,,
budgeted_primal_dual_pgd_repair,2,-232091.484375,7853.869140625,92827.8046875,0.0,1.9678611755371094,5.197951793670654,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,3,-182281.375,6196.43896484375,72902.578125,0.0,2.4219961166381836,5.903141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,4,-190618.6875,6478.30029296875,76226.234375,0.0,2.9141342639923096,7.653141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,5,-189662.15625,6443.41796875,75829.5546875,0.0,3.439300537109375,9.403141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,6,-189913.328125,6456.80859375,75916.1640625,0.0,3.9896156787872314,11.153141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,7,-189936.09375,6453.04638671875,75909.1171875,0.0,4.599090099334717,12.903141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,8,-189978.90625,6457.19091796875,75907.53125,0.0,5.263025283813477,14.653141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,9,-190015.140625,6461.91259765625,75913.421875,0.0,5.879481792449951,16.403141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,10,-190045.03125,6455.92431640625,75916.765625,0.0,6.4244818687438965,18.153141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,11,-228045.171875,6467.92822265625,75912.078125,0.0,9.16201400756836,25.653141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,12,-284899.90625,7941.5078125,94826.375,0.0,11.560797691345215,33.153141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,13,-279136.21875,7763.154296875,92839.171875,0.0,14.31419849395752,40.653141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,14,-279861.46875,7767.31689453125,93038.796875,0.0,16.69724464416504,48.153141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,1,-5281.841796875,349.6116943359375,2115.917236328125,2.838316426334586e-08,1.3160640001296997,3.4479517936706543,10.0,0.6359999775886536,0.019999999552965164,1.0,0.15236465632915497,-0.00299990177154541,0.8125,0.5088691711425781,0.0,8.0,0.0,1.0,-0.0010139942169189453
budgeted_primal_dual_pgd_repair_recover,2,-232091.484375,7853.869140625,92827.8046875,0.0,1.9678611755371094,5.197951793670654,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,3,-182281.375,6196.43896484375,72902.578125,0.0,2.4219961166381836,5.903141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,4,-190618.6875,6478.30029296875,76226.234375,0.0,2.9141342639923096,7.653141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,5,-189662.15625,6443.41796875,75829.5546875,0.0,3.439300537109375,9.403141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,6,-189913.328125,6456.80859375,75916.1640625,0.0,3.9896156787872314,11.153141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,7,-189936.09375,6453.04638671875,75909.1171875,0.0,4.599090099334717,12.903141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,8,-189978.90625,6457.19091796875,75907.53125,0.0,5.263025283813477,14.653141975402832,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,9,-190015.140625,6461.91259765625,75913.421875,0.0,5.879481792449951,16.403141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,10,-190045.03125,6455.92431640625,75916.765625,0.0,6.4244818687438965,18.153141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,11,-228045.171875,6467.92822265625,75912.078125,0.0,9.16201400756836,25.653141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,12,-284899.90625,7941.5078125,94826.375,0.0,11.560797691345215,33.153141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,13,-279136.21875,7763.154296875,92839.171875,0.0,14.31419849395752,40.653141021728516,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,14,-279861.46875,7767.31689453125,93038.796875,0.0,16.69724464416504,48.153141021728516,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,1,-13043.48046875,349.6116943359375,2115.917236328125,2.838316426334586e-08,0.2549739181995392,1.3395369052886963,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,2,-14588.640625,9972.4658203125,117675.828125,0.0,0.2846693992614746,1.3171182870864868,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,3,-567093.8125,9451.0185546875,111276.15625,0.0,2.105889081954956,6.8573174476623535,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,4,-243.5,3302.082763671875,38397.9609375,0.0,2.106534719467163,6.859149932861328,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,5,-217419.203125,2945.885986328125,34177.99609375,0.0,2.107318878173828,6.861404895782471,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,6,-122797.359375,2803.418212890625,32477.39453125,0.0,9.923863410949707,33.929378509521484,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,7,-579.0665283203125,5599.52587890625,66897.6796875,0.0,13.575630187988281,47.21831512451172,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,8,-36506.19140625,5567.90380859375,66518.9921875,0.0,13.619540214538574,47.36367416381836,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,9,-252383.484375,3102.545654296875,36955.03125,0.0,13.835590362548828,48.1157341003418,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,10,-148605.796875,3089.419921875,36797.68359375,0.0,15.558003425598145,54.487056732177734,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,1,-13043.48046875,349.6116943359375,2115.917236328125,2.838316426334586e-08,0.2549739181995392,1.3395369052886963,10.0,0.6143427491188049,0.019999999552965164,1.0,0.1313185840845108,-0.00299990177154541,0.8125,0.4908914566040039,0.0,8.0,0.0,1.0,-0.001001209020614624
rate_recovered_primal_dual_unfolded,2,-14588.640625,9972.4658203125,117675.828125,0.0,0.2846693992614746,1.3171182870864868,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,3,-567093.8125,9451.0185546875,111276.15625,0.0,2.105889081954956,6.8573174476623535,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,4,-243.5,3302.082763671875,38397.9609375,0.0,2.106534719467163,6.859149932861328,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,5,-217419.203125,2945.885986328125,34177.99609375,0.0,2.107318878173828,6.861404895782471,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,6,-122797.359375,2803.418212890625,32477.39453125,0.0,9.923863410949707,33.929378509521484,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,7,-579.0665283203125,5599.52587890625,66897.6796875,0.0,13.575630187988281,47.21831512451172,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,8,-36506.19140625,5567.90380859375,66518.9921875,0.0,13.619540214538574,47.36367416381836,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,9,-252383.484375,3102.545654296875,36955.03125,0.0,13.835590362548828,48.1157341003418,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,10,-148605.796875,3089.419921875,36797.68359375,0.0,15.558003425598145,54.487056732177734,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,11,-301182.5625,8448.7705078125,100090.296875,0.0,17.890729904174805,61.987056732177734,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,12,-192606.875,5353.3046875,63857.296875,0.0,20.046300888061523,69.487060546875,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,13,-202484.015625,5604.40771484375,67104.53125,0.0,22.28241539001465,76.987060546875,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,14,-202167.765625,5587.40283203125,66952.21875,0.0,24.702219009399414,84.487060546875,,,,,,,,,,,,,
risk_neutral_pgd,1,27.05255126953125,1101.97607421875,8013.5693359375,4.5413063531896114e-08,,,,,,,,,,,,,,,
risk_neutral_pgd,2,47.17232894897461,1013.7288208007812,7150.4765625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,3,50.96147537231445,1034.2855224609375,7541.1591796875,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,4,53.46620559692383,912.9734497070312,6594.271484375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,5,55.34130859375,928.1337280273438,6572.1337890625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,6,53.89146041870117,1144.1334228515625,9202.0869140625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,7,56.6959114074707,1065.9468994140625,9042.7216796875,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,8,57.27327346801758,887.2288208007812,7316.708984375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,9,53.9210319519043,746.5596313476562,5641.25927734375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,10,54.84056091308594,694.0050659179688,5106.955078125,0.0,,,,,,,,,,,,,,,
wideband_pgd,1,-12145.833984375,191.79420471191406,1161.712646484375,2.554484801464696e-08,,,,,,,,,,,,,,,
