algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
static_notch_mf,fs_in_target_db,-6.0,18.486225128173828,18.486225128173828,18.48622417449951,17.70043478012085,19.272013568878172,1.0,1911.8699951171875,349.6116943359375,2115.917236328125,2.83831660397027e-08,0.8541666865348816,11.21608610264957,83.99168395996094,0.1458333134651184
risk_neutral_pgd,fs_in_target_db,-6.0,54.870460510253906,54.870460510253906,54.87045860290527,50.62187557220459,59.11904163360596,1.0,4240.9189453125,1055.0985107421875,5288.4697265625,0.0,1.0,268.67300388403237,83.99168395996094,0.1458333134651184
wideband_pgd,fs_in_target_db,-6.0,29.246002197265625,29.246002197265625,29.246002197265625,24.21809539794922,34.27390899658203,1.0,91725.578125,10834.1015625,91725.578125,0.0,0.8541666865348816,270.71238146163523,83.99168395996094,0.1458333134651184
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,53.09627151489258,53.09627151489258,53.09627151489258,48.53055267333984,57.661990356445315,1.0,42666.453125,6467.9287109375,75912.078125,0.0,0.8541666865348816,279.9465535208583,83.99168395996094,0.1458333134651184
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,10.220431327819824,10.220431327819824,10.220430850982666,3.0212263107299804,17.41963562965393,0.0,-0.00299990177154541,0.0,0.0,0.0,0.8541666865348816,400.99749295040965,83.99168395996094,0.1458333134651184
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,13.728225708007812,13.728225708007812,13.728225231170654,8.678216600418091,18.778233861923216,0.0,-0.0010139942169189453,0.0,0.0,0.0,0.8541666865348816,665.8979910425842,83.99168395996094,0.1458333134651184
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,18.52322769165039,18.52322769165039,18.523226737976074,16.053113079071046,20.993340396881102,1.0,52949.9921875,8448.771484375,100090.296875,0.0,0.8541666865348816,305.99656980484724,83.99168395996094,0.1458333134651184
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,14.067300796508789,14.067300796508789,14.06730031967163,9.973315095901489,18.16128554344177,0.0,-0.001001209020614624,0.0,0.0,0.0,0.8541666865348816,692.8054164163768,83.99168395996094,0.1458333134651184
static_notch_mf,fs_in_target_db,-6.0,24.780067443847656,24.780067443847656,24.78006649017334,23.27330446243286,26.28682851791382,1.0,1161.712646484375,191.79421997070312,1161.712646484375,2.554484801464696e-08,0.9166666865348816,11.061338940635324,82.11286163330078,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-6.0,56.16463851928711,56.16463851928711,56.16463851928711,51.06870574951172,61.2605712890625,1.0,4957.71826171875,674.84521484375,4957.71826171875,0.0,1.0,266.70315861701965,82.11286163330078,0.08333331346511841
wideband_pgd,fs_in_target_db,-6.0,26.458641052246094,26.458641052246094,26.458640098571777,19.663368701934814,33.25391149520874,1.0,41294.75,6233.61767578125,44412.75390625,0.0,0.9166666865348816,269.89793800748885,82.11286163330078,0.08333331346511841
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,50.88143539428711,50.88143539428711,50.88143539428711,50.5033821105957,51.25948867797852,1.0,36581.46875,3147.239501953125,36581.46875,0.0,0.9166666865348816,278.9560779929161,82.11286163330078,0.08333331346511841
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,3.7757458686828613,3.7757458686828613,3.7757457494735718,3.4750897526741027,4.07640174627304,0.0,-0.0029998719692230225,0.0,0.0,0.0,0.9166666865348816,396.9307008665055,82.11286163330078,0.08333331346511841
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,19.4686336517334,19.4686336517334,19.4686336517334,19.253071594238282,19.684195709228515,0.0,-0.0015304088592529297,0.0,0.0,0.0,0.9166666865348816,660.1664901245385,82.11286163330078,0.08333331346511841
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,19.827926635742188,19.827926635742188,19.827926635742188,19.394773483276367,20.261079788208008,1.0,66245.953125,5529.2060546875,66245.953125,0.0,0.9166666865348816,306.41862750053406,82.11286163330078,0.08333331346511841
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,17.695384979248047,17.695384979248047,17.69538402557373,16.297893047332764,19.092875003814697,0.0,-0.0010290443897247314,0.0,0.0,0.0,0.9166666865348816,690.0653061456978,82.11286163330078,0.08333331346511841
static_notch_mf,fs_in_target_db,-6.0,18.571866989135742,18.571866989135742,18.571866989135742,17.353644561767577,19.790089416503907,1.0,3506.543212890625,880.0841064453125,5018.5322265625,1.9868215517249155e-08,0.9166666865348816,11.05690049007535,85.36053466796875,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-6.0,50.72105407714844,50.72105407714844,50.72105407714844,49.310206985473634,52.13190116882324,1.0,18613.134765625,2287.05712890625,20942.865234375,0.0,1.0,265.7744539901614,85.36053466796875,0.08333331346511841
wideband_pgd,fs_in_target_db,-6.0,14.269759178161621,14.269759178161621,14.269759178161621,12.57770414352417,15.961814212799073,1.0,237369.59375,37986.5078125,336542.3125,0.0,0.9166666865348816,273.8610440865159,85.36053466796875,0.08333331346511841
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,37.39094161987305,37.39094161987305,37.39094161987305,19.884994888305663,54.8968864440918,1.0,285137.9375,42764.15234375,510705.3125,0.0,0.9166666865348816,280.57579742744565,85.36053466796875,0.08333331346511841
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,0.878243625164032,0.878243625164032,0.878243625164032,0.197503499686718,1.558983713388443,0.0,-0.00299990177154541,0.0,0.0,0.0,0.9166666865348816,402.40557258948684,85.36053466796875,0.08333331346511841
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,7.125189781188965,7.125189781188965,7.125190019607544,6.779480528831482,7.470899510383606,0.0,-0.0010020732879638672,0.0,0.0,0.0,0.9166666865348816,666.5098215453327,85.36053466796875,0.08333331346511841
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,18.35811996459961,18.35811996459961,18.35811996459961,17.68403491973877,19.032205009460448,1.0,481141.5,40117.828125,481141.5,0.0,0.9166666865348816,307.3108175303787,85.36053466796875,0.08333331346511841
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,11.751063346862793,11.751063346862793,11.751063346862793,10.550372695922851,12.951753997802735,0.0,-0.0010047852993011475,0.0,0.0,0.0,0.9166666865348816,699.5640129316598,85.36053466796875,0.08333331346511841
static_notch_mf,fs_in_target_db,-6.0,20.286598205566406,20.286598205566406,20.286598205566406,20.00643138885498,20.56676502227783,1.0,5052.79443359375,921.1119384765625,5052.79443359375,1.1353265882974029e-08,0.9166666865348816,11.208301410079002,78.9693603515625,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-6.0,46.158668518066406,46.158668518066406,46.15866661071777,43.63724422454834,48.68008899688721,1.0,25149.921875,2829.875732421875,25149.921875,0.0,1.0,266.5088358335197,78.9693603515625,0.08333331346511841
wideband_pgd,fs_in_target_db,-6.0,13.458523750305176,13.458523750305176,13.458523750305176,13.234121131896973,13.682926368713378,1.0,912114.6875,81748.3203125,912114.6875,0.0,0.9166666865348816,269.0064189955592,78.9693603515625,0.08333331346511841
