algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
static_notch_mf,fs_in_target_db,-6.0,26.978713989257812,26.978713989257812,26.978713989257812,24.224407196044922,29.733020782470703,1.0,4605.24609375,880.7048950195312,6576.72900390625,1.419158301985135e-08,0.8958333134651184,10.684188979212195,84.08462524414062,0.10416668653488159
risk_neutral_pgd,fs_in_target_db,-6.0,64.31893920898438,64.31893920898438,64.31894302368164,63.17225532531738,65.4656307220459,1.0,8412.4326171875,1248.659423828125,8412.4326171875,0.0,1.0,255.0542299868539,84.08462524414062,0.10416668653488159
wideband_pgd,fs_in_target_db,-6.0,20.964664459228516,20.964664459228516,20.9646635055542,20.234294986724855,21.695032024383544,1.0,181440.21875,23527.5078125,181440.21875,0.0,0.8958333134651184,259.81719500850886,84.08462524414062,0.10416668653488159
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,56.95797348022461,56.95797348022461,56.95797348022461,44.207903671264646,69.70804328918457,1.0,122877.265625,16065.365234375,190088.90625,0.0,0.8958333134651184,266.01005299016833,84.08462524414062,0.10416668653488159
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,3.3212077617645264,3.3212077617645264,3.3212077617645264,2.365145516395569,4.277270007133484,0.0,-0.0029999911785125732,0.0,0.0,0.0,0.8958333134651184,380.16707549104467,84.08462524414062,0.10416668653488159
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,9.685601234436035,9.685601234436035,9.685601234436035,9.06859531402588,10.302607154846191,0.0,-0.0010003447532653809,0.0,0.0,0.0,0.8958333134651184,634.4185684574768,84.08462524414062,0.10416668653488159
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,32.183998107910156,32.183998107910156,32.18399715423584,31.834109210968016,32.53388509750366,1.0,4891.234375,455.7658386230469,4891.234375,0.0,0.8958333134651184,293.1600720039569,84.08462524414062,0.10416668653488159
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,12.419915199279785,12.419915199279785,12.419915199279785,12.052527236938477,12.787303161621093,0.0,-0.0010061860084533691,0.0,0.0,0.0,0.8958333134651184,662.2732594842091,84.08462524414062,0.10416668653488159
static_notch_mf,fs_in_target_db,-6.0,19.703174591064453,19.703174591064453,19.703173637390137,17.83847188949585,21.567875385284424,1.0,10244.6123046875,2404.28662109375,18870.83984375,2.554484801464696e-08,0.7916666269302368,10.684510052669793,82.39830780029297,0.2083333134651184
risk_neutral_pgd,fs_in_target_db,-6.0,58.44460678100586,58.44460678100586,58.44460678100586,56.61418151855469,60.27503204345703,1.0,101679.171875,9561.326171875,106526.3125,0.0,1.0,254.88019100157544,82.39830780029297,0.2083333134651184
