algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_num_groups,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
risk_neutral_pgd,1,12.418743133544922,1592.872314453125,3828.93408203125,3.973643103449831e-08,,,,,,,,,,,,,,,
risk_neutral_pgd,2,23.669157028198242,2307.045654296875,6174.615234375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,3,17.08930778503418,1282.20361328125,4120.7275390625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,4,20.631851196289062,1440.8367919921875,4539.9228515625,0.0,,,,,,,,,,,,,,,
wideband_pgd,1,-53935.98046875,1147.7869873046875,4591.14794921875,1.3245476715439963e-08,,,,,,,,,,,,,,,
wideband_pgd,2,-3635194.75,77344.9921875,309379.96875,0.0,,,,,,,,,,,,,,,
wideband_pgd,3,-2211071.5,47044.30859375,188177.234375,0.0,,,,,,,,,,,,,,,
wideband_pgd,4,-2534052.25,53916.27734375,215665.109375,0.0,,,,,,,,,,,,,,,
budgeted_primal_dual_pgd,1,-9174.34375,1147.7869873046875,4591.14794921875,1.3245476715439963e-08,0.9199939966201782,2.342527389526367,,,,,,,,,,,,,
budgeted_primal_dual_pgd,2,-754811.5625,94352.9140625,377411.65625,0.0,1.2399940490722656,3.9425272941589355,,,,,,,,,,,,,
budgeted_primal_dual_pgd,3,-531965.6875,66494.84375,265979.375,0.0,1.5599939823150635,5.542527198791504,,,,,,,,,,,,,
budgeted_primal_dual_pgd,4,-569214.8125,71150.2578125,284601.03125,0.0,1.8799939155578613,7.142527103424072,,,,,,,,,,,,,
budgeted_primal_dual_pgd,5,-562424.3125,70300.65625,281202.625,0.0,2.199993848800659,8.74252700805664,,,,,,,,,,,,,
budgeted_primal_dual_pgd,6,-563655.8125,70453.2109375,281812.84375,0.0,2.585631847381592,10.342527389526367,,,,,,,,,,,,,
budgeted_primal_dual_pgd,7,-563442.8125,70425.734375,281702.9375,0.0,2.9856319427490234,11.942527770996094,,,,,,,,,,,,,
budgeted_primal_dual_pgd,8,-563489.0,70430.6640625,281722.65625,0.0,3.385632038116455,13.54252815246582,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,1,-9174.34375,1147.7869873046875,4591.14794921875,1.3245476715439963e-08,0.9199939966201782,2.342527389526367,8.0,0.9183333516120911,0.019999999552965164,1.0,0.00013835899881087244,-0.0030001401901245117,,,,,,,
budgeted_primal_dual_pgd_repair,2,-754811.5625,94352.9140625,377411.65625,0.0,1.2399940490722656,3.9425272941589355,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,3,-531965.6875,66494.84375,265979.375,0.0,1.5599939823150635,5.542527198791504,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,4,-569214.8125,71150.2578125,284601.03125,0.0,1.8799939155578613,7.142527103424072,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,5,-562424.3125,70300.65625,281202.625,0.0,2.199993848800659,8.74252700805664,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,6,-563655.8125,70453.2109375,281812.84375,0.0,2.585631847381592,10.342527389526367,,,,,,,,,,,,,
