algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
budget_aware_primal_dual_unfolded,fs_in_target_db,-14.0,27.00311787923177,27.00311787923177,27.003118356068928,24.718206294377648,29.28803041776021,1.0,48790.3983968099,4358.088086446126,49672.30025227865,0.0,0.8923611144224802,294.679505052045,83.21756108601888,0.10763888557751973
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,30.107423464457195,30.107423464457195,30.107423464457195,26.206099383036292,34.008747545878094,1.0,5676.701426188151,627.6739451090494,6309.016174316406,0.0,0.913194457689921,294.19745749328285,84.27363840738933,0.0868055522441864
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,26.92328643798828,26.92328643798828,26.923285961151123,22.618374681472776,31.228197240829463,1.0,8672.320048014322,793.1196594238281,8858.841735839844,0.0,0.8750000099341074,295.3245286674549,83.5217514038086,0.125
budgeted_primal_dual_pgd,fs_in_target_db,-14.0,49.743788401285805,49.743788401285805,49.74378744761149,42.99243733088176,56.49513756434123,1.0,5720971.083333333,516357.95703125,6178569.708333333,0.0,0.8923611144224802,269.1979993833229,83.21756108601888,0.10763888557751973
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,50.14746538798014,50.14746538798014,50.14746538798014,40.55401140848795,59.74091936747234,1.0,1296369.1901041667,119911.79361979167,1430894.96875,0.0,0.913194457689921,269.2535079549998,84.27363840738933,0.0868055522441864
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,52.40433565775553,52.40433565775553,52.404335021972656,41.00060138702393,63.808068656921385,1.0,6828561.364583333,573587.4260864258,6879582.287760417,0.0,0.8750000099341074,270.1380244301011,83.5217514038086,0.125
budgeted_primal_dual_pgd_repair,fs_in_target_db,-14.0,5.947626302639644,5.947626302639644,5.947626293947299,1.2751841136564812,10.620068429534633,0.0,-0.0029999911785125732,0.0,0.0,0.0,0.8923611144224802,330.0643196562305,83.21756108601888,0.10763888557751973
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,10.65475469827652,10.65475469827652,10.65475477774938,2.332584649324417,18.976924886306126,0.0,-0.003000110387802124,0.0,0.0,0.0,0.913194457689921,330.09638513127965,84.27363840738933,0.0868055522441864
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,12.514991283416748,12.514991283416748,12.514991442362467,3.2425112838546433,21.787471548716226,0.0,-0.018587971727053326,0.0,0.0,0.0,0.8750000099341074,330.79029782675207,83.5217514038086,0.125
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-14.0,19.47079372406006,19.47079372406006,19.47079388300578,12.85084579785665,26.090741650263467,0.0,-0.001873085896174113,0.0,0.0,0.0,0.8923611144224802,420.07126108122367,83.21756108601888,0.10763888557751973
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,19.166432698567707,19.166432698567707,19.166432936986286,11.924133658409119,26.408732374509174,0.0,-0.0015863080819447835,0.0,0.0,0.0,0.913194457689921,420.48112116754055,84.27363840738933,0.0868055522441864
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,22.04828993479411,22.04828993479411,22.048290014266968,16.255712978045146,27.84086720943451,0.0,-0.001784101128578186,0.0,0.0,0.0,0.8750000099341074,420.82755799250054,83.5217514038086,0.125
rate_recovered_primal_dual_unfolded,fs_in_target_db,-14.0,13.910844643910727,13.910844643910727,13.910844643910727,10.32288254102071,17.49880674680074,0.0,-0.0023609300454457602,0.0,0.0,0.0,0.8923611144224802,445.4745698021725,83.21756108601888,0.10763888557751973
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,14.663394769032797,14.663394769032797,14.663395086924234,8.679166730244955,20.647623125712077,0.0,-0.00211485226949056,0.0,0.0,0.0,0.913194457689921,446.13572508872795,84.27363840738933,0.0868055522441864
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,12.40997282663981,12.40997282663981,12.40997306505839,10.277900211016338,14.542045919100444,0.0,-0.0016983002424240112,0.0,0.0,0.0,0.8750000099341074,446.48831027249497,83.5217514038086,0.125
risk_neutral_pgd,fs_in_target_db,-14.0,59.06068483988444,59.06068483988444,59.06068483988444,54.7560240427653,63.36534563700358,1.0,2209581.798828125,193575.13793945312,2220629.806640625,0.0,1.0,258.3939554169774,83.21756108601888,0.10763888557751973
risk_neutral_pgd,fs_in_target_db,-10.0,54.551300048828125,54.551300048828125,54.551300684611,51.050887171427405,58.0517141977946,1.0,28240.363118489582,4229.635579427083,37050.057942708336,0.0,1.0,258.14978444638353,84.27363840738933,0.0868055522441864
risk_neutral_pgd,fs_in_target_db,-6.0,59.52646509806315,59.52646509806315,59.52646509806315,57.011848513285315,62.04108168284099,1.0,307349.29645792645,26123.88256072998,307422.45762125653,0.0,1.0,259.2669785566007,83.5217514038086,0.125
static_notch_mf,fs_in_target_db,-14.0,24.171361605326336,24.171361605326336,24.171361764272053,22.18012197812398,26.162601550420124,1.0,78208.84847005208,9782.201009114584,82861.921875,2.0341268373395376e-08,0.8923611144224802,10.769041449142,83.21756108601888,0.10763888557751973
static_notch_mf,fs_in_target_db,-10.0,26.22069485982259,26.22069485982259,26.22069485982259,23.839317544301352,28.60207217534383,1.0,20154.060139973957,2836.0790812174478,23595.506998697918,2.3652638218389182e-08,0.913194457689921,10.796027296843627,84.27363840738933,0.0868055522441864
static_notch_mf,fs_in_target_db,-6.0,21.80148220062256,21.80148220062256,21.80148188273112,20.907932058970133,22.695031706492106,1.0,119878.85416666667,10456.117719014486,121243.54060872395,2.696400702717483e-08,0.8750000099341074,10.817645505691567,83.5217514038086,0.125
wideband_pgd,fs_in_target_db,-14.0,17.407634258270264,17.407634258270264,17.407634019851685,10.359904678662618,24.45536344051361,1.0,4318807.15625,451692.0,4382820.1875,0.0,0.8923611144224802,260.8050487469882,83.21756108601888,0.10763888557751973
wideband_pgd,fs_in_target_db,-10.0,17.171664714813232,17.171664714813232,17.171664635340374,11.379588103294372,22.963741008440653,1.0,989971.0572916666,112963.857421875,1049209.9427083333,0.0,0.913194457689921,261.05721803226817,84.27363840738933,0.0868055522441864
