algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
static_notch_mf,fs_in_target_db,-6.0,23.031517028808594,23.031517028808594,23.031516075134277,21.76904878616333,24.293983364105223,1.0,3580.24658203125,887.9932861328125,5030.77587890625,2.2706531765948057e-08,0.9166666865348816,10.739539051428437,82.76161193847656,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-6.0,56.53156661987305,56.53156661987305,56.53156661987305,51.60925216674805,61.453881072998044,1.0,8182.78515625,1374.82568359375,8182.78515625,0.0,1.0,260.43282449245453,82.76161193847656,0.08333331346511841
wideband_pgd,fs_in_target_db,-6.0,17.63218116760254,17.63218116760254,17.63218116760254,9.012577629089355,26.25178470611572,1.0,567834.3125,55613.05859375,567834.3125,0.0,0.9166666865348816,263.2018285803497,82.76161193847656,0.08333331346511841
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,54.186370849609375,54.186370849609375,54.18636894226074,39.46483173370361,68.90790615081787,1.0,91449.0,12267.4287109375,141970.40625,0.0,0.9166666865348816,270.63925517722964,82.76161193847656,0.08333331346511841
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,17.03317642211914,17.03317642211914,17.033177375793457,3.0661288261413575,31.000225925445555,0.0,-0.0029999911785125732,0.0,0.0,0.0,0.9166666865348816,332.2649875190109,82.76161193847656,0.08333331346511841
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,22.797971725463867,22.797971725463867,22.797971725463867,13.284796142578125,32.31114826202393,0.0,-0.0016418099403381348,0.0,0.0,0.0,0.9166666865348816,422.7866444271058,82.76161193847656,0.08333331346511841
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,28.135295867919922,28.135295867919922,28.135294914245605,23.031495761871337,33.23909406661987,1.0,8266.365234375,726.52197265625,8266.365234375,0.0,0.9166666865348816,296.66659282520413,82.76161193847656,0.08333331346511841
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,9.571878433227539,9.571878433227539,9.571878910064697,8.226230955123901,10.917526865005494,0.0,-0.0017502903938293457,0.0,0.0,0.0,0.9166666865348816,448.67245643399656,82.76161193847656,0.08333331346511841
static_notch_mf,fs_in_target_db,-6.0,21.89163589477539,21.89163589477539,21.891634941101074,21.745775127410887,22.03749475479126,1.0,702559.25,59456.3671875,707365.875,3.973643103449831e-08,0.875,10.860446142032743,84.84365844726562,0.125
risk_neutral_pgd,fs_in_target_db,-6.0,57.857177734375,57.857177734375,57.85717964172363,55.36290035247803,60.35145893096924,1.0,1819210.0,152155.375,1819210.0,0.0,1.0,260.35680645145476,84.84365844726562,0.125
wideband_pgd,fs_in_target_db,-6.0,16.775163650512695,16.775163650512695,16.775163650512695,14.020518684387207,19.529808616638185,1.0,26728928.0,2239133.25,26728928.0,0.0,0.875,262.9944081418216,84.84365844726562,0.125
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,56.12640380859375,56.12640380859375,56.12640571594238,43.983987998962405,68.26882343292236,1.0,40411876.0,3368612.75,40418696.0,0.0,0.875,271.07798494398594,84.84365844726562,0.125
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,7.80867862701416,7.80867862701416,7.80867862701416,0.9308738440275193,14.686483097076415,0.0,-0.0029999613761901855,0.0,0.0,0.0,0.875,331.24845987185836,84.84365844726562,0.125
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,22.382831573486328,22.382831573486328,22.382831573486328,14.95689697265625,29.808767127990723,0.0,-0.0012400150299072266,0.0,0.0,0.0,0.875,422.02193033881485,84.84365844726562,0.125
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,26.865734100341797,26.865734100341797,26.86573314666748,24.64589319229126,29.0855731010437,1.0,19674.48828125,1716.969482421875,19674.48828125,0.0,0.875,296.2247575633228,84.84365844726562,0.125
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,16.512880325317383,16.512880325317383,16.51288080215454,15.337893438339233,17.68786816596985,0.0,-0.0011428892612457275,0.0,0.0,0.0,0.875,447.1651609055698,84.84365844726562,0.125
static_notch_mf,fs_in_target_db,-6.0,19.666400909423828,19.666400909423828,19.666400909423828,18.362387275695802,20.970414543151854,1.0,465.192626953125,120.38423156738281,465.192626953125,2.2706531765948057e-08,0.75,10.857345070689917,83.00341796875,0.25
risk_neutral_pgd,fs_in_target_db,-6.0,65.42945861816406,65.42945861816406,65.4294548034668,64.65954322814942,66.19936637878418,1.0,610.8173217773438,200.96656799316406,650.9681396484375,0.0,1.0,258.6267665028572,83.00341796875,0.25
wideband_pgd,fs_in_target_db,-6.0,14.439248085021973,14.439248085021973,14.439248085021973,13.111464500427246,15.7670316696167,1.0,20602.8515625,3737.927734375,20602.8515625,0.0,0.75,262.23892718553543,83.00341796875,0.25
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,55.37251281738281,55.37251281738281,55.37251281738281,55.36328773498535,55.381737899780276,1.0,17040.4140625,1477.1199951171875,17040.4140625,0.0,0.75,270.4082606360316,83.00341796875,0.25
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,4.9342451095581055,4.9342451095581055,4.9342451095581055,3.8413243293762207,6.02716588973999,0.0,-0.003000110387802124,0.0,0.0,0.0,0.75,328.49322143010795,83.00341796875,0.25
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,20.79967498779297,20.79967498779297,20.799674034118652,19.93602247238159,21.663325595855714,0.0,-0.002026677131652832,0.0,0.0,0.0,0.75,417.3914245329797,83.00341796875,0.25
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,28.648536682128906,28.648536682128906,28.64853572845459,22.69014444351196,34.60692701339722,1.0,515.0692138671875,104.44549560546875,1000.2247314453125,0.0,0.75,292.87179466336966,83.00341796875,0.25
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,11.019716262817383,11.019716262817383,11.019716739654541,10.17490029335022,11.864533185958862,0.0,-0.002815544605255127,0.0,0.0,0.0,0.75,443.5357286129147,83.00341796875,0.25
static_notch_mf,fs_in_target_db,-6.0,24.987754821777344,24.987754821777344,24.987754821777344,24.03158893585205,25.943920707702638,1.0,4233.48046875,817.3715209960938,5963.65966796875,1.9868215517249155e-08,0.8958333730697632,10.725586907938123,83.13755798339844,0.10416668653488159
risk_neutral_pgd,fs_in_target_db,-6.0,62.484886169433594,62.484886169433594,62.48488807678223,61.6290205001831,63.34075565338135,1.0,4272.712890625,848.3928833007812,4272.712890625,0.0,1.0,257.169540040195,83.13755798339844,0.10416668653488159
wideband_pgd,fs_in_target_db,-6.0,15.315696716308594,15.315696716308594,15.315697193145752,12.601542425155639,18.029851961135865,1.0,196520.71875,29872.90234375,268257.3125,0.0,0.8958333730697632,259.16369701735675,83.13755798339844,0.10416668653488159
