algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
static_notch_mf,fs_in_target_db,-6.0,23.14499282836914,23.14499282836914,23.14499282836914,20.843932151794434,25.446053504943848,1.0,2356.212890625,320.12213134765625,2356.212890625,3.12214822884016e-08,0.9166666865348816,11.388604063540697,85.02938842773438,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-6.0,53.37188720703125,53.37188720703125,53.37188529968262,49.992080497741696,56.75169010162354,1.0,3900.99755859375,566.2698364257812,3900.99755859375,0.0,1.0,266.3158418145031,85.02938842773438,0.08333331346511841
wideband_pgd,fs_in_target_db,-6.0,34.488075256347656,34.488075256347656,34.48807334899902,33.56745166778565,35.4086950302124,1.0,39116.7734375,7592.7900390625,44002.828125,0.0,0.9166666865348816,270.16937313601375,85.02938842773438,0.08333331346511841
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,52.162784576416016,52.162784576416016,52.162784576416016,50.4477294921875,53.87783966064453,1.0,56171.8203125,4818.1708984375,56171.8203125,0.0,0.9166666865348816,276.30787156522274,85.02938842773438,0.08333331346511841
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,7.806363105773926,7.806363105773926,7.806362867355347,7.185646271705627,8.427079463005066,0.0,-0.003000020980834961,0.0,0.0,0.0,0.9166666865348816,338.01053557544947,85.02938842773438,0.08333331346511841
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,16.61325454711914,16.61325454711914,16.613253593444824,14.82566556930542,18.400841617584227,0.0,-0.0011681020259857178,0.0,0.0,0.0,0.9166666865348816,400.6941160187125,85.02938842773438,0.08333331346511841
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,40.011512756347656,40.011512756347656,40.01151084899902,39.82611484527588,40.196906852722165,1.0,9145.048828125,831.599365234375,9145.048828125,0.0,0.9166666865348816,302.5564264971763,85.02938842773438,0.08333331346511841
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,14.172679901123047,14.172679901123047,14.172679901123047,13.810828018188477,14.534531784057616,0.0,-0.0019102692604064941,0.0,0.0,0.0,0.9166666865348816,426.51998484507203,85.02938842773438,0.08333331346511841
static_notch_mf,fs_in_target_db,-6.0,21.59056282043457,21.59056282043457,21.59056282043457,20.414404296875,22.766721343994142,1.0,5361.30078125,760.0805053710938,6395.9501953125,2.55448497910038e-08,0.9375,11.384767014533281,84.75845336914062,0.0625
risk_neutral_pgd,fs_in_target_db,-6.0,45.171875,45.171875,45.171875,44.461526489257814,45.882223510742186,1.0,5888.6533203125,1167.03564453125,7469.84716796875,0.0,1.0,268.534334609285,84.75845336914062,0.0625
