algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean,weight_profile,weight_sample_idx
static_notch_mf,weight_profile,0.0,23.688232421875,23.688232421875,23.688232421875,19.821937561035156,27.554527282714844,1.0,134785.59375,20381.099609375,213759.5625,2.83831660397027e-08,0.8958333134651184,11.357462499290705,80.2877197265625,0.10416668653488159,uniform,0
risk_neutral_pgd,weight_profile,0.0,55.377464294433594,55.377464294433594,55.377464294433594,53.09400405883789,57.6609245300293,1.0,267160.65625,28565.412109375,287259.9375,0.0,1.0,263.8294000644237,80.2877197265625,0.10416668653488159,uniform,0
wideband_pgd,weight_profile,0.0,15.758872985839844,15.758872985839844,15.758872509002686,12.928194856643676,18.589550161361693,1.0,3719345.5,745878.125,6242477.0,0.0,0.8958333134651184,266.42327196896076,80.2877197265625,0.10416668653488159,uniform,0
budgeted_primal_dual_pgd,weight_profile,0.0,48.25110626220703,48.25110626220703,48.251108169555664,35.294400978088376,61.207815361022945,1.0,5251055.5,791618.125,9470956.0,0.0,0.8958333134651184,274.99634539708495,80.2877197265625,0.10416668653488159,uniform,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,13.064009666442871,13.064009666442871,13.064009666442871,2.0209562420845035,24.107062435150144,0.0,-0.003000199794769287,0.0,0.0,0.0,0.8958333134651184,337.55993051454425,80.2877197265625,0.10416668653488159,uniform,0
budgeted_primal_dual_pgd_repair_recover,weight_profile,0.0,20.86649513244629,20.86649513244629,20.866495609283447,15.342814016342164,26.39017720222473,0.0,-0.003000199794769287,0.0,0.0,0.0,0.8958333134651184,429.55122608691454,80.2877197265625,0.10416668653488159,uniform,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,37.29963684082031,37.29963684082031,37.299635887145996,31.105127811431885,43.49414396286011,1.0,226854.25,33062.88671875,388643.21875,0.0,0.8958333134651184,304.76566101424396,80.2877197265625,0.10416668653488159,uniform,0
rate_recovered_primal_dual_unfolded,weight_profile,0.0,18.674026489257812,18.674026489257812,18.67402744293213,13.87503023147583,23.47302465438843,0.0,-0.002473801374435425,0.0,0.0,0.0,0.8958333134651184,459.9001214373857,80.2877197265625,0.10416668653488159,uniform,0
static_notch_mf,weight_profile,0.0,23.688232421875,23.013601303100586,23.688232421875,19.821937561035156,27.554527282714844,1.0,134785.59375,20381.099609375,213759.5625,2.83831660397027e-08,0.8958333134651184,11.162097100168467,80.2877197265625,0.10416668653488159,inverse_serving_gain,0
risk_neutral_pgd,weight_profile,0.0,57.038818359375,54.86473846435547,57.038818359375,56.31120414733887,57.76643257141113,1.0,201820.40625,24740.779296875,255266.78125,0.0,1.0,261.8005503900349,80.2877197265625,0.10416668653488159,inverse_serving_gain,0
