algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean,weight_profile,weight_sample_idx
static_notch_mf,weight_profile,0.0,6.753687381744385,6.753687381744385,6.753687381744385,6.753687381744385,6.753687381744385,1.0,5.101023197174072,1.275255799293518,5.101023197174072,0.0,0.9166666865348816,10.323639959096909,76.99913024902344,0.08333331346511841,uniform,0
risk_neutral_pgd,weight_profile,0.0,12.440567016601562,12.440567016601562,12.440567016601562,12.440567016601562,12.440567016601562,1.0,708.66845703125,215.99652099609375,708.66845703125,0.0,1.0,141.22927002608776,76.99913024902344,0.08333331346511841,uniform,0
wideband_pgd,weight_profile,0.0,8.634597778320312,8.634597778320312,8.634597778320312,8.634597778320312,8.634597778320312,1.0,163.92166137695312,40.98041534423828,163.92166137695312,0.0,0.9166666865348816,142.9671780206263,76.99913024902344,0.08333331346511841,uniform,0
budgeted_primal_dual_pgd,weight_profile,0.0,11.062458038330078,11.062458038330078,11.062458038330078,11.062458038330078,11.062458038330078,1.0,205.36903381347656,51.34225845336914,205.36903381347656,0.0,0.9166666865348816,291.36270424351096,76.99913024902344,0.08333331346511841,uniform,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,10.228739738464355,10.228739738464355,10.228739738464355,10.228739738464355,10.228739738464355,0.0,-0.003000199794769287,0.0,0.0,0.0,0.9166666865348816,377.16885283589363,76.99913024902344,0.08333331346511841,uniform,0
budgeted_primal_dual_pgd_repair_recover,weight_profile,0.0,11.415302276611328,11.415302276611328,11.415302276611328,11.415302276611328,11.415302276611328,0.0,-0.0021170377731323242,0.0,0.0,0.0,0.9166666865348816,557.847382966429,76.99913024902344,0.08333331346511841,uniform,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,13.151909828186035,13.151909828186035,13.151909828186035,13.151909828186035,13.151909828186035,1.0,17.097394943237305,4.274348735809326,17.097394943237305,0.0,0.9166666865348816,402.8294878080487,76.99913024902344,0.08333331346511841,uniform,0
rate_recovered_primal_dual_unfolded,weight_profile,0.0,6.8526458740234375,6.8526458740234375,6.8526458740234375,6.8526458740234375,6.8526458740234375,0.0,-0.0010058283805847168,0.0,0.0,0.0,0.9166666865348816,671.3484562933445,76.99913024902344,0.08333331346511841,uniform,0
static_notch_mf,weight_profile,0.0,6.753687381744385,7.235482692718506,6.753687381744385,6.753687381744385,6.753687381744385,1.0,5.101023197174072,1.275255799293518,5.101023197174072,0.0,0.9166666865348816,10.26553986594081,76.99913024902344,0.08333331346511841,inverse_serving_gain,0
risk_neutral_pgd,weight_profile,0.0,11.690032958984375,12.610824584960938,11.690032958984375,11.690032958984375,11.690032958984375,1.0,1343.28857421875,373.2884216308594,1343.28857421875,0.0,1.0,140.4880271293223,76.99913024902344,0.08333331346511841,inverse_serving_gain,0
wideband_pgd,weight_profile,0.0,9.998431205749512,10.249188423156738,9.998431205749512,9.998431205749512,9.998431205749512,1.0,164.5117645263672,41.1279411315918,164.5117645263672,0.0,0.9166666865348816,142.9134663194418,76.99913024902344,0.08333331346511841,inverse_serving_gain,0
budgeted_primal_dual_pgd,weight_profile,0.0,11.951449394226074,13.151386260986328,11.951449394226074,11.951449394226074,11.951449394226074,1.0,214.60501098632812,53.65125274658203,214.60501098632812,0.0,0.9166666865348816,287.3019017279148,76.99913024902344,0.08333331346511841,inverse_serving_gain,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,8.981348991394043,9.700150489807129,8.981348991394043,8.981348991394043,8.981348991394043,0.0,-0.0030000805854797363,0.0,0.0,0.0,0.9166666865348816,374.4193920865655,76.99913024902344,0.08333331346511841,inverse_serving_gain,0
budgeted_primal_dual_pgd_repair_recover,weight_profile,0.0,9.977408409118652,10.865574836730957,9.977408409118652,9.977408409118652,9.977408409118652,0.0,-0.0009999871253967285,0.0,0.0,0.0,0.9166666865348816,555.126195307821,76.99913024902344,0.08333331346511841,inverse_serving_gain,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,13.432083129882812,14.84973430633545,13.432083129882812,13.432083129882812,13.432083129882812,1.0,29.10499382019043,7.276248455047607,29.10499382019043,0.0,0.9166666865348816,403.7174987606704,76.99913024902344,0.08333331346511841,inverse_serving_gain,0
rate_recovered_primal_dual_unfolded,weight_profile,0.0,6.324904918670654,7.0241217613220215,6.324904918670654,6.324904918670654,6.324904918670654,0.0,-0.0010001659393310547,0.0,0.0,0.0,0.9166666865348816,672.6628430187702,76.99913024902344,0.08333331346511841,inverse_serving_gain,0
static_notch_mf,weight_profile,0.0,6.753687381744385,3.861536741256714,6.753687381744385,6.753687381744385,6.753687381744385,1.0,5.101023197174072,1.275255799293518,5.101023197174072,0.0,0.9166666865348816,10.31725900247693,76.99913024902344,0.08333331346511841,hotspot_priority,0
risk_neutral_pgd,weight_profile,0.0,15.053862571716309,16.53629493713379,15.053862571716309,15.053862571716309,15.053862571716309,1.0,664.0206298828125,227.29583740234375,664.0206298828125,0.0,1.0,140.76697500422597,76.99913024902344,0.08333331346511841,hotspot_priority,0
wideband_pgd,weight_profile,0.0,6.747371673583984,5.252166271209717,6.747371673583984,6.747371673583984,6.747371673583984,1.0,159.14511108398438,39.786277770996094,159.14511108398438,0.0,0.9166666865348816,143.42966210097075,76.99913024902344,0.08333331346511841,hotspot_priority,0
budgeted_primal_dual_pgd,weight_profile,0.0,10.725918769836426,9.81586742401123,10.725918769836426,10.725918769836426,10.725918769836426,1.0,104.92843627929688,26.23210906982422,104.92843627929688,0.0,0.9166666865348816,289.8359061218798,76.99913024902344,0.08333331346511841,hotspot_priority,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,9.692513465881348,3.6855688095092773,9.692513465881348,9.692513465881348,9.692513465881348,0.0,-0.0029999613761901855,0.0,0.0,0.0,0.9166666865348816,377.9612621292472,76.99913024902344,0.08333331346511841,hotspot_priority,0
budgeted_primal_dual_pgd_repair_recover,weight_profile,0.0,10.666053771972656,3.711655378341675,10.666053771972656,10.666053771972656,10.666053771972656,0.0,-0.0010121464729309082,0.0,0.0,0.0,0.9166666865348816,560.5185166932642,76.99913024902344,0.08333331346511841,hotspot_priority,0
