algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean,weight_profile,weight_sample_idx
static_notch_mf,weight_profile,0.0,14.12106704711914,14.12106704711914,14.12106704711914,14.12106704711914,14.12106704711914,0.0,-0.9486904740333557,0.0,0.0,5.298190686175985e-08,0.8333333134651184,10.384363122284412,64.1201171875,0.1666666865348816,uniform,0
risk_neutral_pgd,weight_profile,0.0,16.832077026367188,16.832077026367188,16.832077026367188,16.832077026367188,16.832077026367188,1.0,1387.46435546875,346.8660888671875,1387.46435546875,0.0,1.0,142.6782999187708,64.1201171875,0.1666666865348816,uniform,0
wideband_pgd,weight_profile,0.0,16.681596755981445,16.681596755981445,16.681596755981445,16.681596755981445,16.681596755981445,0.0,-0.9648863077163696,0.0,0.0,0.0,0.8333333134651184,144.74358595907688,64.1201171875,0.1666666865348816,uniform,0
budgeted_primal_dual_pgd,weight_profile,0.0,15.375091552734375,15.375091552734375,15.375091552734375,15.375091552734375,15.375091552734375,0.0,-0.9729910492897034,0.0,0.0,0.0,0.8333333134651184,292.1852432191372,64.1201171875,0.1666666865348816,uniform,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,13.91862964630127,13.91862964630127,13.91862964630127,13.91862964630127,13.91862964630127,0.0,-0.9847825169563293,0.0,0.0,0.0,0.8333333134651184,371.64988787844777,64.1201171875,0.1666666865348816,uniform,0
budgeted_primal_dual_pgd_repair_recover,weight_profile,0.0,13.91862964630127,13.91862964630127,13.91862964630127,13.91862964630127,13.91862964630127,0.0,-0.9847825169563293,0.0,0.0,0.0,0.8333333134651184,491.2706930190325,64.1201171875,0.1666666865348816,uniform,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,11.693486213684082,11.693486213684082,11.693486213684082,11.693486213684082,11.693486213684082,0.0,-0.9881835579872131,0.0,0.0,0.0,0.8333333134651184,333.3523781038821,64.1201171875,0.1666666865348816,uniform,0
rate_recovered_primal_dual_unfolded,weight_profile,0.0,11.691861152648926,11.691861152648926,11.691861152648926,11.691861152648926,11.691861152648926,0.0,-0.9917495846748352,0.0,0.0,0.0,0.8333333134651184,530.6563870981336,64.1201171875,0.1666666865348816,uniform,0
static_notch_mf,weight_profile,0.0,14.12106704711914,9.501078605651855,14.12106704711914,14.12106704711914,14.12106704711914,0.0,-0.9486904740333557,0.0,0.0,5.298190686175985e-08,0.8333333134651184,10.318157728761435,64.1201171875,0.1666666865348816,inverse_serving_gain,0
risk_neutral_pgd,weight_profile,0.0,15.267909049987793,13.546371459960938,15.267909049987793,15.267909049987793,15.267909049987793,1.0,600.772216796875,150.19305419921875,600.772216796875,0.0,1.0,142.5685016438365,64.1201171875,0.1666666865348816,inverse_serving_gain,0
wideband_pgd,weight_profile,0.0,14.542068481445312,11.794360160827637,14.542068481445312,14.542068481445312,14.542068481445312,0.0,-0.9745897650718689,0.0,0.0,0.0,0.8333333134651184,144.99120274558663,64.1201171875,0.1666666865348816,inverse_serving_gain,0
budgeted_primal_dual_pgd,weight_profile,0.0,17.986196517944336,14.975581169128418,17.986196517944336,17.986196517944336,17.986196517944336,0.0,-0.9648124575614929,0.0,0.0,0.0,0.8333333134651184,292.76751168072224,64.1201171875,0.1666666865348816,inverse_serving_gain,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,18.040023803710938,14.378196716308594,18.040023803710938,18.040023803710938,18.040023803710938,0.0,-0.991970956325531,0.0,0.0,0.0,0.8333333134651184,372.17227509245276,64.1201171875,0.1666666865348816,inverse_serving_gain,0
budgeted_primal_dual_pgd_repair_recover,weight_profile,0.0,18.040023803710938,14.378196716308594,18.040023803710938,18.040023803710938,18.040023803710938,0.0,-0.991970956325531,0.0,0.0,0.0,0.8333333134651184,491.9494232162833,64.1201171875,0.1666666865348816,inverse_serving_gain,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,14.075424194335938,11.872994422912598,14.075424194335938,14.075424194335938,14.075424194335938,0.0,-0.9930216073989868,0.0,0.0,0.0,0.8333333134651184,329.3487639166415,64.1201171875,0.1666666865348816,inverse_serving_gain,0
rate_recovered_primal_dual_unfolded,weight_profile,0.0,13.41556453704834,10.832257270812988,13.41556453704834,13.41556453704834,13.41556453704834,0.0,-0.9948013424873352,0.0,0.0,0.0,0.8333333134651184,528.5741281695664,64.1201171875,0.1666666865348816,inverse_serving_gain,0
static_notch_mf,weight_profile,0.0,14.12106704711914,46.69940185546875,14.12106704711914,14.12106704711914,14.12106704711914,0.0,-0.9486904740333557,0.0,0.0,5.298190686175985e-08,0.8333333134651184,10.36339532583952,64.1201171875,0.1666666865348816,hotspot_priority,0
