epoch,train_loss,train_utility,train_distill_loss,teacher_runtime_s_mean,train_soft_outage,train_tail_excess,outage_weight,tail_weight,distill_weight,val_loss,val_utility,val_soft_outage,val_tail_excess
1,121979525479.51427,-153488.93220274788,135532639047.68993,2.172888417528676,172958.28186207157,45177473348.600075,0.0,0.0,0.9,-9.463917016983032,9.463917016983032,0.0,0.0
2,50777653.83851814,-2346.7733025210246,56417005.587952726,1.8269053419852364,2659.537289261818,18804109.622118067,0.0,0.0,0.9,-11.316569328308105,11.316569328308105,0.0,0.0
3,37947171536.4271,-90428.79474633081,42163424365.769775,2.2893690794506774,101907.21219730377,14054431567.607605,0.0,0.0,0.9,-8.832911014556885,8.832911014556885,0.0,0.0
4,940955683917.0312,-289752.1010702678,1010744741120.1472,2.138652461880286,326495.66216528416,336914769733.73566,0.5714285714285714,0.2857142857142857,0.8357142857142857,-5.412661552429199,5.412661552429199,0.0,0.0
5,2411630097.9923167,-23445.02516583034,2507089896.4855,1.999682945864541,26405.413640975952,835687398.6619693,1.1428571428571428,0.5714285714285714,0.7714285714285715,-5.948398590087891,5.948398590087891,0.0,0.0
6,479.5649001598358,8.620951652526855,696.6703666916916,2.131975509326107,0.0,0.0,1.7142857142857142,0.8571428571428571,0.7071428571428572,-6.581956624984741,6.581956624984741,0.0,0.0
7,114.9866178376334,9.784670421055385,201.36765043650354,2.1323655234383687,0.0,0.0,2.2857142857142856,1.1428571428571428,0.6428571428571429,-8.682528257369995,8.682528257369995,0.0,0.0
8,-11.38808604649135,8.030256373541695,0.3174839360373361,0.5601450537797064,0.0,0.0,2.857142857142857,1.4285714285714286,0.5785714285714285,-10.844336748123169,10.844336748123169,0.0,0.0
9,-13.625255857195173,10.027523142950875,0.3229490486638887,0.5612751629336604,0.0,0.0,3.4285714285714284,1.7142857142857142,0.5142857142857143,-7.436478853225708,7.436478853225708,0.0,0.0
10,-13.712901796613421,9.750101668494088,0.35113625228405,0.5631176110224,0.0,0.0,4.0,2.0,0.45,-10.610182762145996,10.610182762145996,0.0,0.0
11,-12.347723926816668,9.093341044017247,0.3154701271227428,0.5643378204799124,0.0,0.0,4.0,2.0,0.45,-9.158040046691895,9.158040046691895,0.0,0.0
12,-12.791471753801618,9.906824912343707,0.2875434495508671,0.5609734665735492,0.0,0.0,4.0,2.0,0.45,-6.179435729980469,6.179435729980469,0.0,0.0
13,-11.708617210388184,8.647494895117623,0.3030563374715192,0.557933085498267,0.0,0.0,4.0,2.0,0.45,-7.955749869346619,7.955749869346619,0.0,0.0
14,-12.538793870380946,9.664386766297477,0.27180041479212896,0.5642095886703048,0.0,0.0,4.0,2.0,0.45,-7.336437463760376,7.336437463760376,0.0,0.0
15,-11.577627522604805,9.013600366456169,0.2732237385851996,0.5571914936548897,0.0,0.0,4.0,2.0,0.45,-5.9075939655303955,5.9075939655303955,0.0,0.0
16,-12.638487304959979,9.709304979869298,0.2993161508015224,0.5624315383112324,0.0,0.0,4.0,2.0,0.45,-8.183942079544067,8.183942079544067,0.0,0.0
17,-11.077186584472656,8.310948269707817,0.29617270827293396,0.5619389430420207,0.0,0.0,4.0,2.0,0.45,-13.176367044448853,13.176367044448853,0.0,0.0
18,-10.738608803067889,8.216428484235491,0.3013161910431726,0.5594979682604649,0.0,0.0,4.0,2.0,0.45,-7.169745445251465,7.169745445251465,0.0,0.0
19,-12.08483110155378,9.201840468815394,0.2607407607138157,0.56015942052805,0.0,0.0,4.0,2.0,0.45,-10.2964506149292,10.2964506149292,0.0,0.0
20,-12.48379135131836,9.885107244764056,0.3405657932162285,0.5585431585287941,0.0,0.0,4.0,2.0,0.45,-7.943606853485107,7.943606853485107,0.0,0.0
