algorithm,sweep_tag,sweep_value,sample_id,sum_rate_bps_per_hz,weighted_sum_rate,worst_fs_excess,mean_positive_fs_excess,fs_outage_any,power_violation,active_subband_fraction,runtime_ms
static_notch_mf,fs_in_target_db,-10.0,0,17.61312484741211,17.61312484741211,7452.041015625,1235.2913818359375,1.0,3.4059798537100505e-08,0.7916666865348816,10.935234953649342
static_notch_mf,fs_in_target_db,-10.0,1,19.359323501586914,19.359323501586914,2006.5845947265625,487.625732421875,1.0,2.2706531765948057e-08,0.9166666865348816,10.935234953649342
risk_neutral_pgd,fs_in_target_db,-10.0,0,59.59110641479492,59.59110641479492,5930.24951171875,1706.9359130859375,1.0,0.0,1.0,255.84234349662438
risk_neutral_pgd,fs_in_target_db,-10.0,1,50.149810791015625,50.149810791015625,14868.802734375,3485.043701171875,1.0,0.0,1.0,255.84234349662438
wideband_pgd,fs_in_target_db,-10.0,0,34.760406494140625,34.760406494140625,137668.34375,22358.212890625,1.0,0.0,0.7916666865348816,258.78383801318705
wideband_pgd,fs_in_target_db,-10.0,1,21.109176635742188,21.109176635742188,313100.375,30846.34375,1.0,0.0,0.9166666865348816,258.78383801318705
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,0,45.645145416259766,45.645145416259766,208920.921875,31412.359375,1.0,0.0,0.7916666865348816,265.65364352427423
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,1,54.47080612182617,54.47080612182617,1866.44873046875,579.6043090820312,1.0,0.0,0.9166666865348816,265.65364352427423
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,0,2.767545700073242,2.767545700073242,-0.0029999613761901855,0.0,0.0,0.0,0.7916666865348816,325.1538699842058
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,1,29.040151596069336,29.040151596069336,-0.0030001401901245117,0.0,0.0,0.0,0.9166666865348816,325.1538699842058
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,0,11.128735542297363,11.128735542297363,-0.0010893940925598145,0.0,0.0,0.0,0.7916666865348816,386.84519845992327
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,1,30.3975887298584,30.3975887298584,-0.0030001401901245117,0.0,0.0,0.0,0.9166666865348816,386.84519845992327
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,0,21.439050674438477,21.439050674438477,3234.345947265625,439.4542236328125,1.0,0.0,0.7916666865348816,236.10848904354498
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,1,29.668832778930664,29.668832778930664,1436.97998046875,271.4382019042969,1.0,0.0,0.9166666865348816,236.10848904354498
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,0,8.323819160461426,8.323819160461426,-0.0029997825622558594,0.0,0.0,0.0,0.7916666865348816,355.8045499958098
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,1,12.428694725036621,12.428694725036621,-0.0029999613761901855,0.0,0.0,0.0,0.9166666865348816,355.8045499958098
static_notch_mf,fs_in_target_db,-10.0,0,23.105886459350586,23.105886459350586,2814.3515625,644.6366577148438,1.0,2.838316426334586e-08,0.9166666865348816,11.05418399674818
static_notch_mf,fs_in_target_db,-10.0,1,26.454246520996094,26.454246520996094,2844.418701171875,296.5279846191406,1.0,2.2706531765948057e-08,0.9166666865348816,11.05418399674818
risk_neutral_pgd,fs_in_target_db,-10.0,0,50.50249099731445,50.50249099731445,12080.390625,1472.7393798828125,1.0,0.0,1.0,257.75900000007823
risk_neutral_pgd,fs_in_target_db,-10.0,1,61.826786041259766,61.826786041259766,12078.67578125,1830.3701171875,1.0,0.0,1.0,257.75900000007823
wideband_pgd,fs_in_target_db,-10.0,0,13.965904235839844,13.965904235839844,124173.328125,22372.337890625,1.0,0.0,0.9166666865348816,260.4861159925349
wideband_pgd,fs_in_target_db,-10.0,1,31.0073299407959,31.0073299407959,77730.609375,8199.1669921875,1.0,0.0,0.9166666865348816,260.4861159925349
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,0,54.07553482055664,54.07553482055664,59330.484375,5342.87060546875,1.0,0.0,0.9166666865348816,268.7897944706492
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,1,45.83648681640625,45.83648681640625,117993.96875,9873.3935546875,1.0,0.0,0.9166666865348816,268.7897944706492
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,0,9.494824409484863,9.494824409484863,-0.0029999613761901855,0.0,0.0,0.0,0.9166666865348816,328.78682494629174
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,1,4.927072048187256,4.927072048187256,-0.0030000805854797363,0.0,0.0,0.0,0.9166666865348816,328.78682494629174
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,0,29.426164627075195,29.426164627075195,-0.002118706703186035,0.0,0.0,0.0,0.9166666865348816,388.4105334873311
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,1,29.49705696105957,29.49705696105957,-0.0030000805854797363,0.0,0.0,0.0,0.9166666865348816,388.4105334873311
