algorithm,sweep_tag,sweep_value,sample_id,sum_rate_bps_per_hz,weighted_sum_rate,worst_fs_excess,mean_positive_fs_excess,fs_outage_any,power_violation,active_subband_fraction,runtime_ms
static_notch_mf,fs_in_target_db,-6.0,0,22.929506301879883,22.929506301879883,2210.453125,585.4867553710938,1.0,2.838316426334586e-08,0.9166666865348816,11.165516451001167
static_notch_mf,fs_in_target_db,-6.0,1,24.06368064880371,24.06368064880371,8469.5009765625,1373.0167236328125,1.0,1.7029899268550253e-08,0.9166666865348816,11.165516451001167
risk_neutral_pgd,fs_in_target_db,-6.0,0,63.70521545410156,63.70521545410156,24347.630859375,2470.982421875,1.0,0.0,1.0,262.2104419860989
risk_neutral_pgd,fs_in_target_db,-6.0,1,54.29545211791992,54.29545211791992,6878.81396484375,1772.68798828125,1.0,0.0,1.0,262.2104419860989
wideband_pgd,fs_in_target_db,-6.0,0,19.664926528930664,19.664926528930664,364321.40625,33193.92578125,1.0,0.0,0.9166666865348816,264.42991849035025
wideband_pgd,fs_in_target_db,-6.0,1,13.870250701904297,13.870250701904297,546679.6875,78714.1015625,1.0,0.0,0.9166666865348816,264.42991849035025
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,0,69.26000213623047,69.26000213623047,2079.764404296875,566.6990356445312,1.0,0.0,0.9166666865348816,272.5923724938184
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,1,29.713333129882812,29.713333129882812,437190.8125,50803.44921875,1.0,0.0,0.9166666865348816,272.5923724938184
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,0,25.623563766479492,25.623563766479492,-0.005000114440917969,0.0,0.0,0.0,0.9166666865348816,535.9503345098346
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,1,1.3090755939483643,1.3090755939483643,-0.004999756813049316,0.0,0.0,0.0,0.9166666865348816,535.9503345098346
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,0,32.872047424316406,32.872047424316406,31.924407958984375,5.849597454071045,1.0,0.0,0.9166666865348816,369.6831236593425
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,1,14.398612976074219,14.398612976074219,57.865760803222656,11.555758476257324,1.0,0.0,0.9166666865348816,369.6831236593425
feasibility_restored_primal_dual_unfolded,fs_in_target_db,-6.0,0,22.2510929107666,22.2510929107666,-0.004999995231628418,0.0,0.0,0.0,0.9166666865348816,418.44338504597545
feasibility_restored_primal_dual_unfolded,fs_in_target_db,-6.0,1,0.8534536361694336,0.8534536361694336,-0.005000412464141846,0.0,0.0,0.0,0.9166666865348816,418.44338504597545
static_notch_mf,fs_in_target_db,-6.0,0,22.23661231994629,22.23661231994629,2674.976806640625,526.6965942382812,1.0,1.1353265882974029e-08,0.7916666865348816,11.166618904098868
