algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean,weight_profile,weight_sample_idx
static_notch_mf,weight_profile,0.0,18.510433197021484,18.510433197021484,18.510432243347168,18.084784984588623,18.936079502105713,1.0,10805.611328125,2623.63720703125,10846.56640625,3.689811478579941e-08,0.875,11.736896820366383,82.15966796875,0.125,uniform,0
risk_neutral_pgd,weight_profile,0.0,50.346683502197266,50.346683502197266,50.346683502197266,49.31120147705078,51.38216552734375,1.0,35422.28515625,4810.6728515625,35422.28515625,0.0,1.0,302.219667006284,82.15966796875,0.125,uniform,0
wideband_pgd,weight_profile,0.0,8.436836242675781,8.436836242675781,8.436836242675781,8.325228881835937,8.548443603515626,1.0,1015040.5,153062.609375,1015040.5,0.0,0.875,269.7827850934118,82.15966796875,0.125,uniform,0
budgeted_primal_dual_pgd,weight_profile,0.0,41.59870529174805,41.59870529174805,41.59870624542236,31.820167827606202,51.37724466323852,1.0,600642.5625,71367.4765625,840815.9375,0.0,0.875,275.31542582437396,82.15966796875,0.125,uniform,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,0.575508177280426,0.575508177280426,0.5755081623792648,0.45298146158456803,0.6980348631739616,0.0,-0.005000084638595581,0.0,0.0,0.0,0.875,394.1700079012662,82.15966796875,0.125,uniform,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,23.916927337646484,23.916927337646484,23.9169282913208,22.102162837982178,25.731693744659424,1.0,23.776941299438477,7.844151496887207,25.01754379272461,0.0,0.875,300.818552961573,82.15966796875,0.125,uniform,0
feasibility_restored_primal_dual_unfolded,weight_profile,0.0,1.9286448955535889,1.9286448955535889,1.9286448955535889,0.3016344130039215,3.555655288696289,0.0,-0.0049998462200164795,0.0,0.0,0.0,0.875,418.64001634530723,82.15966796875,0.125,uniform,0
static_notch_mf,weight_profile,0.0,18.510433197021484,19.0089054107666,18.510432243347168,18.084784984588623,18.936079502105713,1.0,10805.611328125,2623.63720703125,10846.56640625,3.689811478579941e-08,0.875,11.306589003652334,82.15966796875,0.125,inverse_serving_gain,0
risk_neutral_pgd,weight_profile,0.0,50.4141845703125,50.60385513305664,50.4141845703125,48.231026077270506,52.597343063354494,1.0,33360.8671875,4764.46435546875,33360.8671875,0.0,1.0,262.7902333624661,82.15966796875,0.125,inverse_serving_gain,0
wideband_pgd,weight_profile,0.0,7.356663703918457,7.7990827560424805,7.356663942337036,5.705395007133484,9.007932877540588,1.0,1015040.5,153062.859375,1015040.5,0.0,0.875,415.6700561288744,82.15966796875,0.125,inverse_serving_gain,0
budgeted_primal_dual_pgd,weight_profile,0.0,42.53382110595703,45.02977752685547,42.5338191986084,33.74160327911377,51.32603511810303,1.0,600758.0,71438.953125,840816.375,0.0,0.875,313.92375263385475,82.15966796875,0.125,inverse_serving_gain,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,0.4670042097568512,0.2928381562232971,0.4670042097568512,0.38108101189136506,0.5529274076223374,0.0,-0.004999995231628418,0.0,0.0,0.0,0.875,399.14783043786883,82.15966796875,0.125,inverse_serving_gain,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,24.283458709716797,22.048622131347656,24.283459663391113,21.78220491409302,26.78471441268921,1.0,27.204715728759766,7.676403045654297,27.204715728759766,0.0,0.875,305.2009146194905,82.15966796875,0.125,inverse_serving_gain,0
feasibility_restored_primal_dual_unfolded,weight_profile,0.0,3.737409830093384,2.7406885623931885,3.737409830093384,1.089915680885315,6.384903979301452,0.0,-0.005000054836273193,0.0,0.0,0.0,0.875,425.0321383588016,82.15966796875,0.125,inverse_serving_gain,0
static_notch_mf,weight_profile,0.0,18.510433197021484,9.45565128326416,18.510432243347168,18.084784984588623,18.936079502105713,1.0,10805.611328125,2623.63720703125,10846.56640625,3.689811478579941e-08,0.875,11.575581971555948,82.15966796875,0.125,hotspot_priority,0
risk_neutral_pgd,weight_profile,0.0,41.819061279296875,51.382328033447266,41.81905937194824,41.646012687683104,41.99210605621338,1.0,49600.98046875,6063.6865234375,49600.98046875,0.0,1.0,267.56971050053835,82.15966796875,0.125,hotspot_priority,0
wideband_pgd,weight_profile,0.0,8.339680671691895,9.80567741394043,8.339680910110474,6.133707118034363,10.545654702186583,1.0,1015040.25,153049.9375,1015040.25,0.0,0.875,270.1571329962462,82.15966796875,0.125,hotspot_priority,0
budgeted_primal_dual_pgd,weight_profile,0.0,27.866653442382812,35.722816467285156,27.86665439605713,20.51381826400757,35.21949052810669,1.0,600916.25,71567.0390625,840709.625,0.0,0.875,366.91113258711994,82.15966796875,0.125,hotspot_priority,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,0.9496151804924011,11.140382766723633,0.9496151804924011,0.4480767250061035,1.4511536657810211,0.0,-0.005000054836273193,0.0,0.0,0.0,0.875,438.37135983631015,82.15966796875,0.125,hotspot_priority,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,14.195459365844727,28.6179256439209,14.195459842681885,12.389786863327027,16.001132822036745,1.0,64.51243591308594,11.179122924804688,64.51243591308594,0.0,0.875,309.44866593927145,82.15966796875,0.125,hotspot_priority,0
feasibility_restored_primal_dual_unfolded,weight_profile,0.0,1.191535472869873,7.732917308807373,1.1915355324745178,1.0700432121753694,1.3130278527736663,0.0,-0.005000054836273193,0.0,0.0,0.0,0.875,427.8386300429702,82.15966796875,0.125,hotspot_priority,0
static_notch_mf,weight_profile,0.0,18.510433197021484,16.946998596191406,18.510432243347168,18.084784984588623,18.936079502105713,1.0,10805.611328125,2623.63720703125,10846.56640625,3.689811478579941e-08,0.875,11.538197053596377,82.15966796875,0.125,lognormal,0
risk_neutral_pgd,weight_profile,0.0,51.663063049316406,48.439666748046875,51.663063049316406,47.04719505310059,56.278931045532225,1.0,38627.0,5183.259765625,38627.0,0.0,1.0,269.0908466465771,82.15966796875,0.125,lognormal,0
wideband_pgd,weight_profile,0.0,8.373941421508789,7.798371315002441,8.373941898345947,7.39979920387268,9.348084592819214,1.0,1015040.375,153062.703125,1015040.375,0.0,0.875,273.83315353654325,82.15966796875,0.125,lognormal,0
budgeted_primal_dual_pgd,weight_profile,0.0,41.18217849731445,37.307273864746094,41.18217945098877,32.6085768699646,49.75578203201294,1.0,601255.375,71552.890625,840815.875,0.0,0.875,279.5393031556159,82.15966796875,0.125,lognormal,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,1.8026224374771118,1.9935706853866577,1.8026224374771118,0.6662372589111328,2.939007556438446,0.0,-0.005000084638595581,0.0,0.0,0.0,0.875,411.1997433938086,82.15966796875,0.125,lognormal,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,23.536766052246094,23.011947631835938,23.53676700592041,21.428553295135497,25.644980716705323,1.0,23.447280883789062,7.801076889038086,24.99498748779297,0.0,0.875,338.8244453817606,82.15966796875,0.125,lognormal,0
feasibility_restored_primal_dual_unfolded,weight_profile,0.0,0.4474624693393707,0.5116403698921204,0.4474624693393707,0.14393521696329117,0.750989744067192,0.0,-0.0050001442432403564,0.0,0.0,0.0,0.875,422.58867295458913,82.15966796875,0.125,lognormal,0
static_notch_mf,weight_profile,0.0,20.958768844604492,20.958768844604492,20.958768844604492,20.756857299804686,21.1606803894043,1.0,9286.4140625,1836.135498046875,9286.4140625,2.2706531765948057e-08,0.9375,11.445466428995132,78.98019409179688,0.0625,uniform,1
risk_neutral_pgd,weight_profile,0.0,53.21113586425781,53.21113586425781,53.21113586425781,50.3686466217041,56.05362510681152,1.0,106982.84375,11162.5341796875,106982.84375,0.0,1.0,265.7832575496286,78.98019409179688,0.0625,uniform,1
wideband_pgd,weight_profile,0.0,15.533084869384766,15.533084869384766,15.533084392547607,15.527601099014282,15.538567686080933,1.0,1455238.5,142760.40625,1468370.0,0.0,0.9375,269.25858831964433,78.98019409179688,0.0625,uniform,1
budgeted_primal_dual_pgd,weight_profile,0.0,44.6796989440918,44.6796989440918,44.6796989440918,40.933745574951175,48.42565231323242,1.0,2208368.0,184553.0625,2208368.0,0.0,0.9375,278.8558055181056,78.98019409179688,0.0625,uniform,1
budgeted_primal_dual_pgd_repair,weight_profile,0.0,0.799560010433197,0.799560010433197,0.799560010433197,0.27243093550205233,1.3266891300678252,0.0,-0.005000174045562744,0.0,0.0,0.0,0.9375,399.0294465329498,78.98019409179688,0.0625,uniform,1
budget_aware_primal_dual_unfolded,weight_profile,0.0,28.51852798461914,28.51852798461914,28.51852798461914,27.3290433883667,29.708012580871582,1.0,25.905834197998047,4.5624799728393555,27.451255798339844,0.0,0.9375,304.1867916472256,78.98019409179688,0.0625,uniform,1
feasibility_restored_primal_dual_unfolded,weight_profile,0.0,2.4967899322509766,2.4967899322509766,2.4967899322509766,0.5087413012981414,4.484838533401489,0.0,-0.005000114440917969,0.0,0.0,0.0,0.9375,508.6127035319805,78.98019409179688,0.0625,uniform,1
static_notch_mf,weight_profile,0.0,20.958768844604492,20.51544189453125,20.958768844604492,20.756857299804686,21.1606803894043,1.0,9286.4140625,1836.135498046875,9286.4140625,2.2706531765948057e-08,0.9375,11.395982466638088,78.98019409179688,0.0625,inverse_serving_gain,1
risk_neutral_pgd,weight_profile,0.0,53.46735763549805,52.205902099609375,53.46735763549805,53.44156723022461,53.49314804077149,1.0,92318.9375,9746.5654296875,92318.9375,0.0,1.0,266.16259501315653,78.98019409179688,0.0625,inverse_serving_gain,1
wideband_pgd,weight_profile,0.0,15.206915855407715,14.297613143920898,15.206915855407715,15.190400314331054,15.223431396484376,1.0,1455239.25,142760.609375,1468370.75,0.0,0.9375,269.38583445735276,78.98019409179688,0.0625,inverse_serving_gain,1
budgeted_primal_dual_pgd,weight_profile,0.0,43.86635208129883,43.346275329589844,43.86635208129883,41.32269439697266,46.410009765625,1.0,2208369.5,184470.375,2208369.5,0.0,0.9375,278.9669504854828,78.98019409179688,0.0625,inverse_serving_gain,1
budgeted_primal_dual_pgd_repair,weight_profile,0.0,0.6706922054290771,0.3739308714866638,0.6706922054290771,0.21871396005153657,1.1226704955101012,0.0,-0.005000114440917969,0.0,0.0,0.0,0.9375,398.940879618749,78.98019409179688,0.0625,inverse_serving_gain,1
budget_aware_primal_dual_unfolded,weight_profile,0.0,29.33737564086914,28.394824981689453,29.337376594543457,28.05227403640747,30.622479152679443,1.0,30.700851440429688,4.923810005187988,30.700851440429688,0.0,0.9375,306.009799009189,78.98019409179688,0.0625,inverse_serving_gain,1
feasibility_restored_primal_dual_unfolded,weight_profile,0.0,5.281422138214111,4.867591857910156,5.281422138214111,0.6486809968948365,9.914163160324096,0.0,-0.004999935626983643,0.0,0.0,0.0,0.9375,423.51133772172034,78.98019409179688,0.0625,inverse_serving_gain,1
static_notch_mf,weight_profile,0.0,20.958768844604492,23.57209014892578,20.958768844604492,20.756857299804686,21.1606803894043,1.0,9286.4140625,1836.135498046875,9286.4140625,2.2706531765948057e-08,0.9375,11.394534958526492,78.98019409179688,0.0625,hotspot_priority,1
risk_neutral_pgd,weight_profile,0.0,35.875099182128906,52.29304885864258,35.87510108947754,32.62410068511963,39.12610149383545,1.0,54356.56640625,6288.8369140625,54356.56640625,0.0,1.0,434.5116470940411,78.98019409179688,0.0625,hotspot_priority,1
wideband_pgd,weight_profile,0.0,12.775493621826172,30.138446807861328,12.77549409866333,11.961805868148804,13.589182329177856,1.0,1455225.25,142757.28125,1468356.75,0.0,0.9375,272.58596546016634,78.98019409179688,0.0625,hotspot_priority,1
budgeted_primal_dual_pgd,weight_profile,0.0,25.089387893676758,35.19516372680664,25.089387893676758,22.733926010131835,27.44484977722168,1.0,2208357.5,184620.171875,2208357.5,0.0,0.9375,281.27747937105596,78.98019409179688,0.0625,hotspot_priority,1
budgeted_primal_dual_pgd_repair,weight_profile,0.0,0.9292466044425964,7.380914211273193,0.9292466044425964,0.4108857333660126,1.4476074755191803,0.0,-0.004999905824661255,0.0,0.0,0.0,0.9375,402.5929451454431,78.98019409179688,0.0625,hotspot_priority,1
budget_aware_primal_dual_unfolded,weight_profile,0.0,17.90481948852539,41.61650848388672,17.904820442199707,17.137355899810792,18.67228498458862,1.0,24.87274169921875,4.0798797607421875,24.87274169921875,0.0,0.9375,307.9629463609308,78.98019409179688,0.0625,hotspot_priority,1
feasibility_restored_primal_dual_unfolded,weight_profile,0.0,2.3847312927246094,13.406763076782227,2.384731411933899,2.3412917494773864,2.4281710743904115,0.0,-0.0050001442432403564,0.0,0.0,0.0,0.9375,428.2028086017817,78.98019409179688,0.0625,hotspot_priority,1
static_notch_mf,weight_profile,0.0,20.958768844604492,21.239038467407227,20.958768844604492,20.756857299804686,21.1606803894043,1.0,9286.4140625,1836.135498046875,9286.4140625,2.2706531765948057e-08,0.9375,11.602252488955855,78.98019409179688,0.0625,lognormal,1
risk_neutral_pgd,weight_profile,0.0,51.008583068847656,48.25703430175781,51.00858497619629,49.52127819061279,52.49589176177979,1.0,116326.0625,11887.3271484375,116326.0625,0.0,1.0,269.82686342671514,78.98019409179688,0.0625,lognormal,1
