algorithm,layer,utility,mean_violation,cvar,power_violation
risk_neutral_pgd,1,29.919397354125977,2752.4990234375,30548.392578125,2.554484801464696e-08
risk_neutral_pgd,2,55.558990478515625,2189.348388671875,23853.75390625,0.0
risk_neutral_pgd,3,60.935211181640625,1933.7254638671875,20731.23828125,0.0
risk_neutral_pgd,4,61.297576904296875,2012.35986328125,21314.60546875,0.0
risk_neutral_pgd,5,61.00810623168945,2388.152099609375,26279.30859375,0.0
risk_neutral_pgd,6,63.13254928588867,2453.077392578125,27108.689453125,0.0
risk_neutral_pgd,7,63.7655029296875,1932.14892578125,20882.0390625,0.0
risk_neutral_pgd,8,63.7779541015625,1587.259765625,16638.9140625,0.0
risk_neutral_pgd,9,60.226131439208984,2410.270751953125,26408.2265625,0.0
risk_neutral_pgd,10,66.83596801757812,2600.651611328125,28597.7265625,0.0
wideband_pgd,1,-8196.0302734375,159.3018798828125,729.1473388671875,2.554484801464696e-08
wideband_pgd,2,-1759376.25,16878.169921875,188279.84375,0.0
wideband_pgd,3,-1079881.0,10425.763671875,115440.8828125,0.0
wideband_pgd,4,-1239304.625,11933.2294921875,132542.296875,0.0
wideband_pgd,5,-1199693.5,11561.8134765625,128287.15625,0.0
wideband_pgd,6,-1209904.0,11660.9189453125,129377.7734375,0.0
wideband_pgd,7,-1207456.75,11638.9765625,129113.0234375,0.0
wideband_pgd,8,-1208108.0,11645.9462890625,129181.375,0.0
wideband_pgd,9,-1207960.875,11645.0986328125,129164.828125,0.0
wideband_pgd,10,-1208009.875,11645.8095703125,129169.1875,0.0
scenario_adaptive_unfolded,1,-999.6126098632812,159.3018798828125,729.1473388671875,2.554484801464696e-08
scenario_adaptive_unfolded,2,-5920.60595703125,97.35236358642578,388.693603515625,0.0
scenario_adaptive_unfolded,3,-98.39673614501953,97.35189056396484,388.6883239746094,0.0
scenario_adaptive_unfolded,4,-3571.6787109375,92.67739868164062,352.6387939453125,0.0
scenario_adaptive_unfolded,5,-990.3387451171875,15.477886199951172,84.59859466552734,0.0
scenario_adaptive_unfolded,6,-42.739131927490234,6.1660637855529785,33.354705810546875,0.0
scenario_adaptive_unfolded,7,7.18351936340332,0.6786470413208008,3.360567331314087,0.0
scenario_adaptive_unfolded,8,24.252792358398438,0.027173003181815147,0.2603588104248047,0.0
risk_neutral_pgd,1,26.88197898864746,726.6950073242188,4179.91259765625,3.4059798537100505e-08
risk_neutral_pgd,2,47.08955764770508,696.4317016601562,4015.02880859375,0.0
risk_neutral_pgd,3,49.9786376953125,703.3486328125,4276.1318359375,0.0
risk_neutral_pgd,4,49.576663970947266,675.6669921875,4055.11962890625,0.0
risk_neutral_pgd,5,52.70878601074219,676.2194213867188,3953.23583984375,0.0
risk_neutral_pgd,6,53.82362365722656,673.952392578125,3942.1005859375,0.0
risk_neutral_pgd,7,56.16868591308594,670.8815307617188,3960.443115234375,0.0
