algorithm,sweep_tag,sweep_value,sample_id,sum_rate_bps_per_hz,weighted_sum_rate,worst_fs_excess,mean_positive_fs_excess,fs_outage_any,power_violation,active_subband_fraction,runtime_ms
static_notch_mf,fs_in_target_db,-6.0,0,20.560888290405273,20.560888290405273,684.496826171875,167.66885375976562,1.0,1.1353265882974029e-08,0.8333333134651184,11.179388035088778
static_notch_mf,fs_in_target_db,-6.0,1,32.79324722290039,32.79324722290039,773.7978515625,150.93492126464844,1.0,3.973643103449831e-08,0.9166666865348816,11.179388035088778
risk_neutral_pgd,fs_in_target_db,-6.0,0,58.98575973510742,58.98575973510742,2799.072509765625,461.8449401855469,1.0,0.0,1.0,262.72197789512575
risk_neutral_pgd,fs_in_target_db,-6.0,1,67.582763671875,67.582763671875,48073.1640625,4193.2197265625,1.0,0.0,1.0,262.72197789512575
wideband_pgd,fs_in_target_db,-6.0,0,26.882522583007812,26.882522583007812,106259.703125,10070.9951171875,1.0,0.0,0.8333333134651184,264.7456710692495
wideband_pgd,fs_in_target_db,-6.0,1,35.77350616455078,35.77350616455078,152076.65625,13221.1083984375,1.0,0.0,0.9166666865348816,264.7456710692495
scenario_adaptive_unfolded,fs_in_target_db,-6.0,0,14.356593132019043,14.356593132019043,-0.7032833099365234,0.0,0.0,0.0,0.8333333134651184,233.61483868211508
scenario_adaptive_unfolded,fs_in_target_db,-6.0,1,29.334165573120117,29.334165573120117,-0.6026257276535034,0.0,0.0,0.0,0.9166666865348816,233.61483868211508
static_notch_mf,fs_in_target_db,-6.0,0,24.708791732788086,24.708791732788086,3132.096435546875,623.805908203125,1.0,3.973643103449831e-08,0.9166666865348816,11.154170613735914
static_notch_mf,fs_in_target_db,-6.0,1,24.440832138061523,24.440832138061523,1184.2413330078125,256.8522644042969,1.0,2.838316426334586e-08,0.9166666865348816,11.154170613735914
risk_neutral_pgd,fs_in_target_db,-6.0,0,53.67863464355469,53.67863464355469,4129.607421875,859.9130859375,1.0,0.0,1.0,262.236000970006
risk_neutral_pgd,fs_in_target_db,-6.0,1,61.98836135864258,61.98836135864258,6730.439453125,734.1962280273438,1.0,0.0,1.0,262.236000970006
wideband_pgd,fs_in_target_db,-6.0,0,14.283913612365723,14.283913612365723,412385.84375,49089.49609375,1.0,0.0,0.9166666865348816,265.0137220043689
wideband_pgd,fs_in_target_db,-6.0,1,22.573949813842773,22.573949813842773,50601.21875,8445.373046875,1.0,0.0,0.9166666865348816,265.0137220043689
scenario_adaptive_unfolded,fs_in_target_db,-6.0,0,15.584891319274902,15.584891319274902,-0.8720817565917969,0.0,0.0,0.0,0.9166666865348816,233.78324159421027
scenario_adaptive_unfolded,fs_in_target_db,-6.0,1,13.240330696105957,13.240330696105957,-0.8495039939880371,0.0,0.0,0.0,0.9166666865348816,233.78324159421027
