algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
static_notch_mf,fs_in_target_db,-6.0,27.533506393432617,27.533506393432617,27.533506393432617,21.873029136657713,33.19398365020752,1.0,21045.654296875,4587.03857421875,21045.654296875,0.0,0.875,9.17675462551415,82.88736724853516,0.125
risk_neutral_pgd,fs_in_target_db,-6.0,64.37466430664062,64.37466430664062,64.37466239929199,54.48275623321533,74.26656856536866,1.0,903128.0625,82213.984375,903128.0625,0.0,1.0,251.36963045224547,82.88736724853516,0.125
wideband_pgd,fs_in_target_db,-6.0,29.154394149780273,29.154394149780273,29.154394149780273,23.893503379821777,34.41528491973877,1.0,8971882.0,808968.0,8971882.0,0.0,0.875,252.69519537687302,82.88736724853516,0.125
scenario_adaptive_unfolded,fs_in_target_db,-6.0,27.46209144592285,27.46209144592285,27.46209144592285,21.804570198059082,33.11961269378662,1.0,22951.546875,3493.57470703125,22951.546875,0.0,0.875,222.6421895902604,82.88736724853516,0.125
static_notch_mf,fs_in_target_db,-6.0,24.978984832763672,24.978984832763672,24.978983879089355,24.513160991668702,25.44480676651001,1.0,58317.390625,11888.0009765625,71663.6953125,0.0,0.9166666865348816,9.320710552856326,81.02288055419922,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-6.0,55.667755126953125,55.667755126953125,55.667755126953125,55.59035301208496,55.74515724182129,1.0,95480.890625,19392.08203125,95480.890625,0.0,1.0,251.13854999653995,81.02288055419922,0.08333331346511841
wideband_pgd,fs_in_target_db,-6.0,15.240118026733398,15.240118026733398,15.24011754989624,13.89817147254944,16.58206362724304,1.0,16078374.0,1998217.75,19657544.0,0.0,0.9166666865348816,252.6294810231775,81.02288055419922,0.08333331346511841
scenario_adaptive_unfolded,fs_in_target_db,-6.0,24.918907165527344,24.918907165527344,24.918907165527344,24.502664375305176,25.33514995574951,1.0,35010.32421875,6561.318359375,41769.2421875,0.0,0.9166666865348816,222.87107584998012,81.02288055419922,0.08333331346511841
static_notch_mf,fs_in_target_db,-6.0,20.678359985351562,20.678359985351562,20.67836093902588,20.23759717941284,21.119124698638917,1.0,152166.359375,27355.560546875,177434.90625,0.0,0.8333333730697632,9.32600605301559,81.07759094238281,0.1666666865348816
risk_neutral_pgd,fs_in_target_db,-6.0,51.68012237548828,51.68012237548828,51.68012237548828,51.22942886352539,52.13081588745117,1.0,814532.4375,87511.640625,814532.4375,0.0,1.0,252.21382756717503,81.07759094238281,0.1666666865348816
wideband_pgd,fs_in_target_db,-6.0,7.528815269470215,7.528815269470215,7.528815269470215,7.4005614757537845,7.657069063186645,1.0,154777760.0,14209341.0,154777760.0,0.0,0.8333333730697632,253.43025079928339,81.07759094238281,0.1666666865348816
scenario_adaptive_unfolded,fs_in_target_db,-6.0,20.62639045715332,20.62639045715332,20.62639045715332,20.222248077392578,21.030532836914062,1.0,141133.4375,16204.896484375,150560.328125,0.0,0.8333333730697632,223.45088445581496,81.07759094238281,0.1666666865348816
static_notch_mf,fs_in_target_db,-6.0,22.369709014892578,22.369709014892578,22.369709014892578,19.805903434753418,24.93351459503174,1.0,134574.1875,23413.83984375,134574.1875,0.0,0.875,9.294952498748899,80.65940856933594,0.125
risk_neutral_pgd,fs_in_target_db,-6.0,50.146644592285156,50.146644592285156,50.14664649963379,47.90494976043701,52.388343238830565,1.0,144335936.0,12067508.0,144335936.0,0.0,1.0,251.47376186214387,80.65940856933594,0.125
