algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
risk_neutral_pgd,fs_in_target_db,-14.0,52.9594612121582,52.9594612121582,52.95946216583252,49.8361346244812,56.08278970718384,1.0,461386.2037760417,65719.92838541667,590835.4654947916,0.0,1.0,250.18515721118698,82.87256749471028,0.10416667660077412
risk_neutral_pgd,fs_in_target_db,-10.0,54.11227226257324,54.11227226257324,54.112270991007485,51.28235708872477,56.942184893290204,1.0,97858.43570963542,10946.392944335938,108628.18310546875,0.0,1.0,249.63059245298305,83.28077697753906,0.08680554231007893
risk_neutral_pgd,fs_in_target_db,-6.0,56.80630366007487,56.80630366007487,56.80630334218343,54.031610902150476,59.580995782216384,1.0,737845.7744140625,77337.26546223958,914860.2535807291,0.0,1.0,250.0856995660191,81.77484893798828,0.16319443782170615
scenario_adaptive_unfolded,fs_in_target_db,-14.0,12.368831078211466,12.368831078211466,12.368830959002176,9.890694359938303,14.84696767727534,0.6666666666666666,1839.9824629426003,202.0515002020014,2420.0252329292707,0.0,0.8958333532015482,223.6235374196743,82.87256749471028,0.10416667660077412
scenario_adaptive_unfolded,fs_in_target_db,-10.0,14.74159304300944,14.74159304300944,14.74159280459086,11.295562116305033,18.187623492876686,0.3333333333333333,2.9817669093608856,0.39981759277482826,4.107093693688512,0.0,0.9097222288449606,223.70826196856797,83.28077697753906,0.08680554231007893
scenario_adaptive_unfolded,fs_in_target_db,-6.0,16.5823868115743,16.5823868115743,16.58238697052002,12.472335958480835,20.692437982559202,0.3333333333333333,370.88537143667537,31.801651454220217,354.71022857849795,0.0,0.8368055721124014,223.5003001599883,81.77484893798828,0.16319443782170615
static_notch_mf,fs_in_target_db,-14.0,20.89284674326579,20.89284674326579,20.89284650484721,19.75828017393748,22.027412835756937,1.0,199717.55403645834,30208.773356119793,290508.6529947917,2.03412680773359e-08,0.8958333532015482,10.985946166329086,82.87256749471028,0.10416667660077412
static_notch_mf,fs_in_target_db,-10.0,21.95907751719157,21.95907751719157,21.95907751719157,20.596098772684734,23.322056261698407,1.0,25499.754638671875,3483.314208984375,30795.722737630207,2.0814321303556465e-08,0.913194457689921,10.91519114561379,83.28077697753906,0.08680554231007893
static_notch_mf,fs_in_target_db,-6.0,22.31466547648112,22.31466547648112,22.314665635426838,20.506689246495565,24.122642024358115,1.0,16313.587158203125,1671.7071533203125,16826.535970052082,2.4598742894473464e-08,0.8368055721124014,10.883177436577776,81.77484893798828,0.16319443782170615
wideband_pgd,fs_in_target_db,-14.0,11.667041460673014,11.667041460673014,11.667041500409445,8.844966900348664,14.489116020997365,1.0,18041973.541666668,1978282.8828125,21911942.0625,0.0,0.8958333532015482,251.90899637527764,82.87256749471028,0.10416667660077412
wideband_pgd,fs_in_target_db,-10.0,18.69425360361735,18.69425360361735,18.69425392150879,15.828626585006715,21.559881258010865,1.0,1302708.7083333333,175938.66015625,1748429.9895833333,0.0,0.913194457689921,252.34715566815188,83.28077697753906,0.08680554231007893
wideband_pgd,fs_in_target_db,-6.0,19.01625347137451,19.01625347137451,19.01625331242879,14.122152694066365,23.910353930791217,1.0,1313733.48828125,127386.67333984375,1449618.2486979167,0.0,0.8368055721124014,252.07328121177852,81.77484893798828,0.16319443782170615
legacy_budget_dual,fs_in_target_db,-6.0,167.264892578125,167.264892578125,167.264892578125,167.264892578125,167.264892578125,0.0,-0.9993657840496032,0.0,0.0,0.0,,,,
legacy_budget_dual,fs_in_target_db,-10.0,179.02544021606445,179.02544021606445,179.02544021606445,179.02544021606445,179.02544021606445,0.0,-0.9988343732508358,0.0,0.0,0.0,,,,
legacy_budget_dual,fs_in_target_db,-14.0,178.88167572021484,178.88167572021484,178.88167572021484,178.88167572021484,178.88167572021484,0.0,-0.997227123162455,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-6.0,106.46100997924805,106.46100997924805,106.46100997924805,106.46100997924805,106.46100997924805,0.0,-0.9999999733162002,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-10.0,115.13279914855956,115.13279914855956,115.13279914855956,115.13279914855956,115.13279914855956,0.0,-0.9999999037029376,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-14.0,117.30560874938963,117.30560874938963,117.30560874938963,117.30560874938963,117.30560874938963,0.0,-0.999999995997841,0.0,0.0,0.0,,,,
legacy_no_fs,fs_in_target_db,-6.0,166.22532272338867,166.22532272338867,166.22532272338867,166.22532272338867,166.22532272338867,1.0,235.17271355422804,235.17271355422804,235.17271355422804,0.0,,,,
legacy_no_fs,fs_in_target_db,-10.0,179.04781341552734,179.04781341552734,179.04781341552734,179.04781341552734,179.04781341552734,1.0,456.9117261808377,456.9117261808377,456.9117261808377,0.0,,,,
legacy_no_fs,fs_in_target_db,-14.0,173.3958511352539,173.3958511352539,173.3958511352539,173.3958511352539,173.3958511352539,1.0,1039.5918491337459,1039.5918491337459,1039.5918491337459,0.0,,,,
