epoch,train_loss,train_utility,val_loss
1,1100875510.125,-1100875510.125,16528733877.5
2,1354286899.9760742,-1354286899.9760742,284509405.0
3,88802285.58959961,-88802285.58959961,532534.484375
4,7196636950.207031,-7196636950.207031,2689311.125
5,2832845433.0,-2832845433.0,897107356.75
6,250701243.34375,-250701243.34375,97850415.0
7,375411269.484375,-375411269.484375,703286.671875
8,3638560.03515625,-3638560.03515625,2605826.25
9,2361159.421875,-2361159.421875,1994196.9375
10,2642175.609375,-2642175.609375,1383819.625
11,1336644.4609375,-1336644.4609375,6711018.875
12,1356980.4609375,-1356980.4609375,1590685.375
13,969433.08203125,-969433.08203125,978168.5625
14,2278962.85546875,-2278962.85546875,480365.0
15,2168380.4072265625,-2168380.4072265625,5572377.5
16,2923817.8671875,-2923817.8671875,4651130.0
17,4352017.99609375,-4352017.99609375,702274.1875
18,779250.150390625,-779250.150390625,447847.1875
