algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean,weight_profile,weight_sample_idx
static_notch_mf,weight_profile,0.0,24.87387466430664,24.87387466430664,24.873875617980957,22.85253801345825,26.895213222503664,1.0,15750.4794921875,3945.53515625,23558.625,1.419158301985135e-08,0.9166666865348816,11.911834590137005,78.92240905761719,0.08333331346511841,uniform,0
risk_neutral_pgd,weight_profile,0.0,59.80625915527344,59.80625915527344,59.80626106262207,55.300632286071775,64.31188983917237,1.0,15993.935546875,4276.2216796875,24451.388671875,0.0,1.0,280.3402878344059,78.92240905761719,0.08333331346511841,uniform,0
wideband_pgd,weight_profile,0.0,13.329795837402344,13.329795837402344,13.329795837402344,11.697437763214111,14.962153911590576,1.0,1862687.125,278504.8125,2616519.0,0.0,0.9166666865348816,282.74139505811036,78.92240905761719,0.08333331346511841,uniform,0
budgeted_primal_dual_pgd,weight_profile,0.0,61.3121337890625,61.3121337890625,61.3121337890625,56.136172485351565,66.48809509277343,1.0,2046365.25,270480.3125,3226251.5,0.0,0.9166666865348816,237.19025845639408,78.92240905761719,0.08333331346511841,uniform,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,29.982627868652344,29.982627868652344,29.98262882232666,27.308303356170654,32.656954288482666,1.0,671.767578125,195.9559326171875,732.6383056640625,0.0,0.9166666865348816,259.25722252577543,78.92240905761719,0.08333331346511841,uniform,0
static_notch_mf,weight_profile,0.0,24.87387466430664,23.568275451660156,24.873875617980957,22.85253801345825,26.895213222503664,1.0,15750.4794921875,3945.53515625,23558.625,1.419158301985135e-08,0.9166666865348816,11.900382582098246,78.92240905761719,0.08333331346511841,inverse_serving_gain,0
risk_neutral_pgd,weight_profile,0.0,57.42902755737305,55.765254974365234,57.42902755737305,54.00838623046875,60.84966888427734,1.0,16876.06640625,4676.33935546875,25961.33203125,0.0,1.0,280.4556156042963,78.92240905761719,0.08333331346511841,inverse_serving_gain,0
wideband_pgd,weight_profile,0.0,12.93349838256836,9.442848205566406,12.93349838256836,11.613313388824462,14.253683376312257,1.0,1862689.5,278505.25,2616519.25,0.0,0.9166666865348816,282.5481549371034,78.92240905761719,0.08333331346511841,inverse_serving_gain,0
budgeted_primal_dual_pgd,weight_profile,0.0,59.369754791259766,60.78251647949219,59.369754791259766,52.81313819885254,65.92637138366699,1.0,2046244.5,270502.1875,3226251.5,0.0,0.9166666865348816,236.19841458275914,78.92240905761719,0.08333331346511841,inverse_serving_gain,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,29.211654663085938,27.6578426361084,29.211654663085938,28.905021095275877,29.518288230895998,1.0,815.8448486328125,209.71881103515625,815.8448486328125,0.0,0.9166666865348816,258.1583315040916,78.92240905761719,0.08333331346511841,inverse_serving_gain,0
static_notch_mf,weight_profile,0.0,24.87387466430664,35.9205207824707,24.873875617980957,22.85253801345825,26.895213222503664,1.0,15750.4794921875,3945.53515625,23558.625,1.419158301985135e-08,0.9166666865348816,11.483444599434733,78.92240905761719,0.08333331346511841,hotspot_priority,0
risk_neutral_pgd,weight_profile,0.0,36.31207275390625,56.866119384765625,36.31207466125488,34.74766445159912,37.876484870910645,1.0,26584.56640625,4022.349609375,32102.8828125,0.0,1.0,281.7171444185078,78.92240905761719,0.08333331346511841,hotspot_priority,0
wideband_pgd,weight_profile,0.0,13.771698951721191,36.40081787109375,13.771698951721191,11.022959995269776,16.520437908172607,1.0,1862665.75,278499.65625,2616519.0,0.0,0.9166666865348816,285.44719284400344,78.92240905761719,0.08333331346511841,hotspot_priority,0
budgeted_primal_dual_pgd,weight_profile,0.0,35.060726165771484,51.405677795410156,35.0607271194458,28.99036283493042,41.13109140396118,1.0,2045627.25,270099.75,3226252.0,0.0,0.9166666865348816,236.9108460843563,78.92240905761719,0.08333331346511841,hotspot_priority,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,19.43758773803711,47.71345520019531,19.437586784362793,18.17514352798462,20.700030040740966,1.0,609.5928344726562,161.81643676757812,682.880615234375,0.0,0.9166666865348816,259.98282921500504,78.92240905761719,0.08333331346511841,hotspot_priority,0
static_notch_mf,weight_profile,0.0,24.87387466430664,24.20754623413086,24.873875617980957,22.85253801345825,26.895213222503664,1.0,15750.4794921875,3945.53515625,23558.625,1.419158301985135e-08,0.9166666865348816,11.78400800563395,78.92240905761719,0.08333331346511841,lognormal,0
risk_neutral_pgd,weight_profile,0.0,57.830963134765625,51.77948760986328,57.83096504211426,51.661896324157716,64.0000337600708,1.0,15772.91015625,4208.15576171875,22886.921875,0.0,1.0,286.8054194841534,78.92240905761719,0.08333331346511841,lognormal,0
wideband_pgd,weight_profile,0.0,16.901838302612305,14.15052604675293,16.901838779449463,13.953402280807495,19.85027527809143,1.0,1862682.125,278503.625,2616519.0,0.0,0.9166666865348816,289.3962755333632,78.92240905761719,0.08333331346511841,lognormal,0
budgeted_primal_dual_pgd,weight_profile,0.0,59.95363998413086,54.4896240234375,59.95363998413086,50.9419979095459,68.96528205871581,1.0,2046049.25,270808.46875,3226251.0,0.0,0.9166666865348816,241.65220488794148,78.92240905761719,0.08333331346511841,lognormal,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,28.30150604248047,27.560016632080078,28.30150604248047,25.678566551208498,30.92444553375244,1.0,930.286376953125,252.15899658203125,938.9703979492188,0.0,0.9166666865348816,264.97611962258816,78.92240905761719,0.08333331346511841,lognormal,0
