algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_num_groups,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
risk_neutral_pgd,1,22.395858764648438,13253.0244140625,151693.125,2.838316426334586e-08,,,,,,,,,,,,,,,
risk_neutral_pgd,2,41.90843200683594,15005.2421875,173163.515625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,3,46.4278678894043,19044.353515625,221754.921875,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,4,49.50898361206055,22329.376953125,261180.0,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,5,47.63633346557617,21807.181640625,255165.140625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,6,48.2158203125,26423.083984375,310477.21875,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,7,48.05784606933594,25364.052734375,299001.21875,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,8,48.02939987182617,24271.375,284510.34375,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,9,48.37180709838867,21616.357421875,252284.765625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,10,48.4384880065918,29960.529296875,352443.09375,0.0,,,,,,,,,,,,,,,
wideband_pgd,1,-24652.580078125,476.90771484375,2189.79150390625,3.4059798537100505e-08,,,,,,,,,,,,,,,
wideband_pgd,2,-4808740.0,46871.84375,513210.65625,0.0,,,,,,,,,,,,,,,
wideband_pgd,3,-2944246.5,29676.953125,312389.21875,0.0,,,,,,,,,,,,,,,
wideband_pgd,4,-3390020.0,33802.80078125,360374.75,0.0,,,,,,,,,,,,,,,
wideband_pgd,5,-3290707.75,32879.87109375,349690.90625,0.0,,,,,,,,,,,,,,,
wideband_pgd,6,-3325487.25,33200.23828125,353437.6875,0.0,,,,,,,,,,,,,,,
wideband_pgd,7,-3323050.5,33177.03515625,353176.65625,0.0,,,,,,,,,,,,,,,
