epoch,train_loss,train_utility,train_distill_loss,teacher_runtime_s_mean,train_soft_outage,train_tail_excess,outage_weight,tail_weight,distill_weight,val_loss,val_utility,val_soft_outage,val_tail_excess
1,468317828718.4874,-483481.96740722656,520352616272.0,1.5077693230705336,1.0,173806020855.35938,0.0,0.0,0.9,-9.498408555984497,12.450181007385254,0.4919620752334595,0.0
2,332044664.8751831,-29710.54559326172,368905504.0,1.1313271580729634,1.0,173732346.46875,0.0,0.0,0.9,-10.743487358093262,13.716719150543213,0.4955386370420456,0.0
3,43091303.76119995,-8545.577728271484,47869729.75,1.1276017440250143,1.0,24565820.2734375,0.0,0.0,0.9,-9.495459079742432,12.471260070800781,0.4959667772054672,0.0
4,29004481.036361694,-60838.00079917908,32159604.329589844,1.1286347700515762,1.0,4172729452.0183716,0.0,0.0,0.9,-9.826426982879639,12.80196475982666,0.49592292308807373,0.0
5,2927662378.3012695,-97459.80559539795,1308240186.09375,1.1262605357915163,1.0,7224864483.313477,0.42857142857142855,0.25,0.8571428571428572,-11.696703910827637,14.672053337097168,0.49589163064956665,0.0
6,179266349170.48438,-255801.96086883545,182690615272.0,1.1297537008067593,1.0,61007485816.84375,0.8571428571428571,0.5,0.8142857142857143,-7.38715934753418,10.361311435699463,0.49569201469421387,0.0
7,357495788552.28125,-727834.5827636719,2003348941.625,1.1265084837796167,1.0,474599509412.53125,1.2857142857142856,0.75,0.7714285714285715,-7.9413580894470215,10.910090446472168,0.4947887063026428,0.0
8,42369398.87109375,-7811.561920166016,29473687.8671875,1.1279698342550546,1.0,20887898.72265625,1.7142857142857142,1.0,0.7285714285714285,-7.362889289855957,10.338374614715576,0.49591420590877533,0.0
9,358790085.62890625,-22284.146911621094,253841418.0,1.128302343771793,1.0,147764087.3046875,2.142857142857143,1.25,0.6857142857142857,-7.341651439666748,10.317279815673828,0.49593809247016907,0.0
10,3157300378.4296875,-36680.41706085205,2623195504.59375,1.1300704111345112,1.0,980615775.2338867,2.571428571428571,1.5,0.6428571428571428,-9.204355239868164,12.180027961730957,0.49594542384147644,0.0
11,14661738.379112244,-3680.296478509903,31734.681640625,1.1293259598314762,1.0,8365151.110103607,3.0,1.75,0.6,-5.468135833740234,8.440995931625366,0.4954766780138016,0.0
12,38160354.702941895,-4896.639459609985,484960.05432128906,1.1267716181464493,1.0,18942631.189682007,3.4285714285714284,2.0,0.5571428571428572,-10.079895973205566,13.05491304397583,0.49583612382411957,0.0
13,16665.089096069336,-102.79876518249512,11408.255401611328,1.1270521646365523,0.941045492887497,4751.803309440613,3.8571428571428577,2.25,0.5142857142857142,-12.354433536529541,15.32636308670044,0.4953216314315796,0.0
14,393009.22653770447,-404.02271497249603,297501.1401062012,1.1261085905134678,1.0,100940.1524553299,4.285714285714286,2.5,0.47142857142857136,-11.279930591583252,14.251383304595947,0.4952421486377716,0.0
15,942332.5877183676,-732.7700548171997,0.0,0.0,0.9485706686973572,342398.3117674887,4.714285714285714,2.75,0.42857142857142855,-8.17492151260376,11.12623929977417,0.4918862581253052,0.0
16,4807323.768109322,-1863.386751651764,0.0,0.0,1.0,1601818.4628443718,5.142857142857142,3.0,0.3857142857142857,-8.901071548461914,11.876152038574219,0.4958467334508896,0.0
17,108745327.73588371,-5536.846173524857,0.0,0.0,1.0,33458396.589416504,5.571428571428571,3.25,0.34285714285714275,-5.926542043685913,8.901951313018799,0.49590152502059937,0.0
18,13410.562404632568,-94.91507291793823,0.0,0.0,0.9992344230413437,3802.757548570633,6.0,3.5,0.3,-13.305475234985352,16.278417587280273,0.49549034237861633,0.0
19,32930.87466430664,-165.06412053108215,0.0,0.0,1.0,9359.945980072021,6.0,3.5,0.3,-12.84498119354248,15.820227146148682,0.4958743005990982,0.0
20,503935.96658706665,-546.4198468923569,0.0,0.0,1.0,143823.8695654869,6.0,3.5,0.3,-10.788517951965332,13.740231990814209,0.4919523447751999,0.0
21,195936.35904872417,-334.17544013261795,0.0,0.0,0.8766774386167526,55884.83200210333,6.0,3.5,0.3,-8.486064672470093,11.437822818756104,0.49195966124534607,0.0
22,763503.9957481623,-537.8918353915215,0.0,0.0,0.931806281208992,217988.7161081559,6.0,3.5,0.3,-9.813506603240967,12.765282154083252,0.49196256697177887,0.0
23,7092.979310274124,-56.40096652507782,0.0,0.0,0.9375045746564865,2008.8438115119934,6.0,3.5,0.3,-13.197499752044678,16.148240566253662,0.49179011583328247,0.0
24,5703.197289466858,-32.56256425380707,0.0,0.0,0.9316276386380196,1618.5841856002808,6.0,3.5,0.3,-7.1657068729400635,10.137594223022461,0.4953145682811737,0.0
