algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
static_notch_mf,fs_in_target_db,-6.0,23.496593475341797,23.496593475341797,23.496593475341797,22.986215019226073,24.00697193145752,1.0,5339.97705078125,979.251708984375,6210.7109375,2.2706531765948057e-08,0.9166666865348816,11.018551886081696,82.48484802246094,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-6.0,59.000335693359375,59.000335693359375,59.00033378601074,54.765940284729005,63.23472728729248,1.0,15613.22265625,2121.835205078125,15613.22265625,0.0,1.0,260.6275340076536,82.48484802246094,0.08333331346511841
wideband_pgd,fs_in_target_db,-6.0,16.767589569091797,16.767589569091797,16.76758861541748,14.159984493255616,19.375192737579347,1.0,455500.5625,55954.015625,455500.5625,0.0,0.9166666865348816,264.0581193845719,82.48484802246094,0.08333331346511841
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,49.48666763305664,49.48666763305664,49.48666763305664,31.690666580200194,67.28266868591308,1.0,219635.28125,25685.07421875,301875.5,0.0,0.9166666865348816,272.1061580814421,82.48484802246094,0.08333331346511841
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,13.466320037841797,13.466320037841797,13.466320037841797,2.524799966812134,24.40783939361572,0.0,-0.004999935626983643,0.0,0.0,0.0,0.9166666865348816,425.1345391385257,82.48484802246094,0.08333331346511841
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,13.940926551818848,13.940926551818848,13.940926551818848,3.4100385189056395,24.471813869476318,0.0,-0.0014943182468414307,0.0,0.0,0.0,0.9166666865348816,959.1309609822929,82.48484802246094,0.08333331346511841
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,25.88033676147461,25.88033676147461,25.880335807800293,22.07070722579956,29.689964389801027,1.0,17.353010177612305,1.9158587455749512,21.110010147094727,0.0,0.9166666865348816,300.2349475864321,82.48484802246094,0.08333331346511841
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,13.013137817382812,13.013137817382812,13.013137817382812,7.358006572723388,18.668269538879393,0.0,-0.0030750930309295654,0.0,0.0,0.0,0.9166666865348816,450.30278246849775,82.48484802246094,0.08333331346511841
static_notch_mf,fs_in_target_db,-6.0,26.090984344482422,26.090984344482422,26.09098529815674,22.622049617767335,29.559920978546142,1.0,20071.1875,2133.536865234375,21593.77734375,1.9868215517249155e-08,0.875,11.040452867746353,83.45083618164062,0.125
risk_neutral_pgd,fs_in_target_db,-6.0,61.61090850830078,61.61090850830078,61.61090660095215,58.34123630523682,64.88057689666748,1.0,28582.890625,3714.307861328125,40072.0078125,0.0,1.0,263.6609161272645,83.45083618164062,0.125
wideband_pgd,fs_in_target_db,-6.0,18.311626434326172,18.311626434326172,18.31162738800049,16.999779987335206,19.62347478866577,1.0,593713.375,58584.85546875,593713.375,0.0,0.875,263.12427036464214,83.45083618164062,0.125
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,48.23774719238281,48.23774719238281,48.23774719238281,39.53979225158692,56.93570213317871,1.0,899475.1875,75134.1171875,899475.1875,0.0,0.875,271.8683881685138,83.45083618164062,0.125
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,1.945228099822998,1.945228099822998,1.9452280402183533,1.4992652475833892,2.3911908328533173,0.0,-0.005000084638595581,0.0,0.0,0.0,0.875,388.7472569476813,83.45083618164062,0.125
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,10.60214614868164,10.60214614868164,10.60214614868164,9.383960628509522,11.82033166885376,0.0,-0.0030007362365722656,0.0,0.0,0.0,0.875,423.02818363532424,83.45083618164062,0.125
