algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,16.549407958984375,16.549407958984375,16.549407958984375,16.549407958984375,16.549407958984375,1.0,305.0912036895752,118.31895112991333,305.0912036895752,0.0,0.9166666865348816,333.60863709822297,71.26825714111328,0.08333331346511841
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,14.41253662109375,14.41253662109375,14.41253662109375,14.41253662109375,14.41253662109375,1.0,19684.79638671875,5006.4720458984375,19684.79638671875,0.0,0.9166666865348816,295.22535647265613,71.26825714111328,0.08333331346511841
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,5.506953716278076,5.506953716278076,5.506953716278076,5.506953716278076,5.506953716278076,0.0,-0.004999995231628418,0.0,0.0,0.0,0.9166666865348816,443.4782457537949,71.26825714111328,0.08333331346511841
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,10.08187198638916,10.08187198638916,10.08187198638916,10.08187198638916,10.08187198638916,0.0,-0.004999995231628418,0.0,0.0,0.0,0.9166666865348816,1034.0325594879687,71.26825714111328,0.08333331346511841
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,6.951243162155151,6.951243162155151,6.951243162155151,6.951243162155151,6.951243162155151,0.0,-0.00499996542930603,0.0,0.0,0.0,0.9166666865348816,518.9120916184038,71.26825714111328,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-10.0,15.200300693511963,15.200300693511963,15.200300693511963,15.200300693511963,15.200300693511963,1.0,12182.572265625,3107.3728637695312,12182.572265625,0.0,1.0,143.50208011455834,71.26825714111328,0.08333331346511841
static_notch_mf,fs_in_target_db,-10.0,9.792092084884644,9.792092084884644,9.792092084884644,9.792092084884644,9.792092084884644,1.0,967.787109375,353.3972625732422,967.787109375,1.3245476715439963e-08,0.9166666865348816,10.437113465741277,71.26825714111328,0.08333331346511841
wideband_pgd,fs_in_target_db,-10.0,7.3388895988464355,7.3388895988464355,7.3388895988464355,7.3388895988464355,7.3388895988464355,1.0,20994.432373046875,8547.472351074219,20994.432373046875,0.0,0.9166666865348816,145.47113166190684,71.26825714111328,0.08333331346511841
legacy_budget_dual,fs_in_target_db,-6.0,51.32197093963623,51.32197093963623,51.32197093963623,51.32197093963623,51.32197093963623,0.0,-0.9946907183689475,0.0,0.0,0.0,,,,
legacy_budget_dual,fs_in_target_db,-10.0,66.96042251586914,66.96042251586914,66.96042251586914,66.96042251586914,66.96042251586914,0.0,-0.9995312019212008,0.0,0.0,0.0,,,,
legacy_budget_dual,fs_in_target_db,-14.0,52.86515045166016,52.86515045166016,52.86515045166016,52.86515045166016,52.86515045166016,0.0,-0.9995220984201294,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-6.0,28.57234668731689,28.57234668731689,28.57234668731689,28.57234668731689,28.57234668731689,0.0,-0.999999990455295,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-10.0,48.75164794921875,48.75164794921875,48.75164794921875,48.75164794921875,48.75164794921875,0.0,-0.9999998663093687,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-14.0,47.52124786376953,47.52124786376953,47.52124786376953,47.52124786376953,47.52124786376953,0.0,-0.9999999980066719,0.0,0.0,0.0,,,,
legacy_no_fs,fs_in_target_db,-6.0,46.79299831390381,46.79299831390381,46.79299831390381,46.79299831390381,46.79299831390381,1.0,41.7600577359928,41.7600577359928,41.7600577359928,0.0,,,,
legacy_no_fs,fs_in_target_db,-10.0,72.92619323730469,72.92619323730469,72.92619323730469,72.92619323730469,72.92619323730469,1.0,24280.331134966917,24280.331134966917,24280.331134966917,0.0,,,,
legacy_no_fs,fs_in_target_db,-14.0,49.10936737060547,49.10936737060547,49.10936737060547,49.10936737060547,49.10936737060547,1.0,59.971517806589,59.971517806589,59.971517806589,0.0,,,,
